lat,lon,depth,sal,temp,p,c,td
,,263.5,33.75593188,1.3,NaN,29.30857143,
,,264.5,33.75082021,1.3,NaN,29.305,
,,265.5,33.74389018,1.3,NaN,29.3,
,,266.5,33.74700012,1.3,NaN,29.30285714,
,,267.5,33.76825776,1.3,NaN,29.32,
,,268.5,33.76951143,1.3,NaN,29.32142857,
,,269.5,33.77104641,1.30375,NaN,29.32625,
,,270.5,33.77411791,1.301428571,NaN,29.32714286,
,,271.5,33.77579134,1.30125,NaN,29.32875,
,,272.5,33.77508745,1.302857143,NaN,29.33,
,,273.5,33.77356164,1.30375,NaN,29.33,
,,274.5,33.77088242,1.305714286,NaN,29.33,
,,275.5,33.77084233,1.30375,NaN,29.32875,
,,276.5,33.77436793,1.301428571,NaN,29.33,
,,277.5,33.77534167,1.3,NaN,29.33,
,,278.5,33.77170182,1.302857143,NaN,29.33,
,,279.5,33.77271333,1.301428571,NaN,29.33,
,,280.5,33.76903639,1.304285714,NaN,29.33,
,,281.5,33.76697256,1.305714286,NaN,29.33,
,,282.5,33.76583241,1.30625,NaN,29.33,
,,283.5,33.76584562,1.305714286,NaN,29.33,
,,284.5,33.76066954,1.31,NaN,29.33,
,,285.5,33.76164403,1.308571429,NaN,29.33,
,,286.5,33.77862973,1.31,NaN,29.345,
,,287.5,33.78442862,1.31,NaN,29.35,
,,288.5,33.80295313,1.31,NaN,29.365,
,,289.5,33.80511664,1.31,NaN,29.36714286,
,,290.5,33.81161469,1.31125,NaN,29.37375,
,,291.5,33.81391523,1.314285714,NaN,29.37857143,
,,292.5,33.81281026,1.315,NaN,29.37875,
,,293.5,33.81768575,1.311428571,NaN,29.38,
,,294.5,33.81144067,1.31375,NaN,29.3775,
,,295.5,33.81194212,1.315714286,NaN,29.38,
,,296.5,33.81080228,1.31625,NaN,29.38,
,,297.5,33.80619946,1.32,NaN,29.38,
,,298.5,33.80698389,1.31875,NaN,29.38,
,,299.5,33.80507495,1.32,NaN,29.38,
,,300.5,33.80455032,1.32,NaN,29.38,
,,301.5,33.81034862,1.32,NaN,29.385,
,,302.5,33.81432971,1.32,NaN,29.38857143,
,,303.5,33.81558492,1.32,NaN,29.39,
,,304.5,33.82410883,1.32,NaN,29.39714286,
,,305.5,33.82718123,1.32,NaN,29.4,
,,306.5,33.81935095,1.32,NaN,29.39428571,
,,307.5,33.82605764,1.32,NaN,29.4,
,,308.5,33.82549601,1.32,NaN,29.4,
,,309.5,33.82493447,1.32,NaN,29.4,
,,310.5,33.82437304,1.32,NaN,29.4,
,,311.5,33.82381171,1.32,NaN,29.4,
,,312.5,33.82325048,1.32,NaN,29.4,
,,313.5,33.82268936,1.32,NaN,29.4,
,,314.5,33.82212834,1.32,NaN,29.4,
,,315.5,33.82156741,1.32,NaN,29.4,
,,316.5,33.82100661,1.32,NaN,29.4,
,,317.5,33.82044589,1.32,NaN,29.4,
,,318.5,33.81988529,1.32,NaN,29.4,
,,319.5,33.81932478,1.32,NaN,29.4,
,,320.5,33.81876437,1.32,NaN,29.4,
,,321.5,33.81820408,1.32,NaN,29.4,
,,322.5,33.81946071,1.32,NaN,29.40142857,
,,323.5,33.82306856,1.32625,NaN,29.41,
,,324.5,33.82000782,1.328571429,NaN,29.41,
,,325.5,33.81790914,1.33,NaN,29.41,
,,326.5,33.81734949,1.33,NaN,29.41,
,,327.5,33.81678995,1.33,NaN,29.41,
,,328.5,33.82349545,1.33,NaN,29.41571429,
,,329.5,33.84109822,1.33,NaN,29.43,
,,330.5,33.82964148,1.33,NaN,29.42142857,
,,331.5,33.83997914,1.33,NaN,29.43,
,,332.5,33.83941975,1.33,NaN,29.43,
,,333.5,33.83886046,1.33,NaN,29.43,
,,334.5,33.83830128,1.33,NaN,29.43,
,,335.5,33.8377422,1.33,NaN,29.43,
,,336.5,33.83718322,1.33,NaN,29.43,
,,337.5,33.83662435,1.33,NaN,29.43,
,,338.5,33.83452689,1.331428571,NaN,29.43,
,,339.5,33.82877535,1.33625,NaN,29.43,
,,340.5,33.83368724,1.332857143,NaN,29.43142857,
,,341.5,33.83218254,1.335,NaN,29.4325,
,,342.5,33.83494042,1.335714286,NaN,29.43571429,
,,343.5,33.83241228,1.33375,NaN,29.4325,
,,344.5,33.83717858,1.334285714,NaN,29.43714286,
,,345.5,33.84045027,1.34,NaN,29.445,
,,346.5,33.85433705,1.344285714,NaN,29.46,
,,347.5,33.84896888,1.34875,NaN,29.46,
,,348.5,33.85069432,1.35,NaN,29.46285714,
,,349.5,33.85444727,1.35,NaN,29.46625,
,,350.5,33.85865394,1.35,NaN,29.47,
,,351.5,33.85809642,1.35,NaN,29.47,
,,352.5,33.857539,1.35,NaN,29.47,
,,353.5,33.85698169,1.35,NaN,29.47,
,,354.5,33.85642448,1.35,NaN,29.47,
,,355.5,33.85586737,1.35,NaN,29.47,
,,356.5,33.85531036,1.35,NaN,29.47,
,,357.5,33.85475346,1.35,NaN,29.47,
,,358.5,33.85419666,1.35,NaN,29.47,
,,359.5,33.85363995,1.35,NaN,29.47,
,,360.5,33.85308337,1.35,NaN,29.47,
,,361.5,33.85252686,1.35,NaN,29.47,
,,362.5,33.85193337,1.35,NaN,29.47,
,,363.5,33.85137709,1.35,NaN,29.47,
,,364.5,33.85082091,1.35,NaN,29.47,
,,365.5,33.85026483,1.35,NaN,29.47,
,,366.5,33.85288453,1.35,NaN,29.4725,
,,367.5,33.84915297,1.35,NaN,29.47,
,,368.5,33.84859718,1.35,NaN,29.47,
,,369.5,33.87163775,1.35,NaN,29.48857143,
,,370.5,33.89829699,1.35,NaN,29.51,
,,371.5,33.88503688,1.35,NaN,29.5,
,,372.5,33.87654187,1.35,NaN,29.49375,
,,373.5,33.86033578,1.35,NaN,29.48142857,
,,374.5,33.8516153,1.35,NaN,29.475,
,,375.5,33.8447096,1.35,NaN,29.47,
,,376.5,33.84732988,1.35,NaN,29.4725,
,,377.5,33.84793891,1.344285714,NaN,29.46857143,
,,378.5,33.85025862,1.34625,NaN,29.4725,
,,379.5,33.84611905,1.35,NaN,29.47285714,
,,380.5,33.84866607,1.34375,NaN,29.47,
,,381.5,33.85211254,1.34,NaN,29.47,
,,382.5,33.8515579,1.34,NaN,29.47,
,,383.5,33.81611103,1.34,NaN,29.4425,
,,384.5,33.86496816,1.34,NaN,29.48142857,
,,385.5,33.84671891,1.34,NaN,29.4675,
,,386.5,33.85005063,1.334285714,NaN,29.46571429,
