Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,53.0,2.152,2.9371,33.0483,1026.6493,0.36,0.152,0.41,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,54.0,2.160,2.9381,33.0513,1026.6559,0.40,0.148,0.38,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,55.0,2.165,2.9387,33.0543,1026.6627,0.43,0.154,0.35,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,56.0,2.170,2.9395,33.0582,1026.6702,0.35,0.132,0.32,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,57.0,2.193,2.942,33.0651,1026.6786,0.36,0.111,0.3,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,58.0,2.201,2.9435,33.0746,1026.6903,0.35,0.123,0.28,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,59.0,2.209,2.944,33.0708,1026.6915,0.35,0.121,0.25,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,60.0,2.212,2.9467,33.1014,1026.7205,0.32,0.137,0.23,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,61.0,2.213,2.9466,33.0984,1026.7227,0.29,0.083,0.21,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,62.0,2.161,2.9443,33.123,1026.7512,0.31,0.126,0.19,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,63.0,2.167,2.9437,33.1098,1026.745,0.32,0.11,0.17,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,64.0,2.147,2.9442,33.1364,1026.7726,0.31,0.139,0.15,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,65.0,2.146,2.9446,33.1413,1026.7813,0.31,0.108,0.14,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,66.0,2.140,2.9448,33.149,1026.7927,0.31,0.12,0.13,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,67.0,2.115,2.9449,33.1762,1026.8212,0.34,0.155,0.11,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,68.0,2.101,2.9467,33.213,1026.8565,0.25,0.114,0.09,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,69.0,2.101,2.9486,33.2367,1026.8802,0.25,0.134,0.08,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,70.0,2.103,2.951,33.2631,1026.906,0.20,0.121,0.07,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,71.0,2.086,2.9489,33.2541,1026.9048,0.20,0.107,0.06,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,72.0,2.008,2.9459,33.2984,1026.9512,0.17,0.128,0.05,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,73.0,1.978,2.9434,33.298,1026.958,0.17,0.213,0.04,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,74.0,1.947,2.9429,33.3246,1026.9864,0.19,0.146,0.03,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,75.0,1.937,2.9423,33.3258,1026.9929,0.18,0.139,0.02,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,76.0,1.928,2.9415,33.3259,1026.9984,0.16,0.151,0.02,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,77.0,1.909,2.9413,33.3415,1027.0171,0.19,0.115,0.01,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,78.0,1.904,2.9411,33.3435,1027.0238,0.19,0.135,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,79.0,1.904,2.9412,33.3455,1027.0303,0.16,0.17,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,80.0,1.902,2.9412,33.346,1027.0356,0.19,0.117,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,81.0,1.895,2.9409,33.3501,1027.0442,0.17,0.138,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,82.0,1.890,2.9407,33.3524,1027.0511,0.18,0.139,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,83.0,1.879,2.9399,33.3531,1027.0573,0.17,0.134,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,84.0,1.855,2.9389,33.3648,1027.0732,0.16,0.145,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,85.0,1.840,2.9377,33.3645,1027.0789,0.15,0.167,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,86.0,1.808,2.9365,33.3839,1027.1016,0.17,0.143,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,87.0,1.806,2.9365,33.3852,1027.1076,0.16,0.158,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,88.0,1.802,2.9363,33.3861,1027.1134,0.16,0.134,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,89.0,1.793,2.9358,33.3895,1027.1216,0.15,0.155,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,90.0,1.778,2.9351,33.3946,1027.1315,0.15,0.17,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,91.0,1.770,2.9347,33.3989,1027.1403,0.15,0.152,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,92.0,1.757,2.934,33.4037,1027.1499,0.13,0.167,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,93.0,1.703,2.9309,33.4208,1027.1724,0.14,0.162,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,94.0,1.662,2.9288,33.4374,1027.1935,0.14,0.195,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,95.0,1.644,2.9282,33.4485,1027.2086,0.15,0.175,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,96.0,1.628,2.9273,33.4529,1027.218,0.15,0.165,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,97.0,1.617,2.9268,33.4575,1027.2273,0.12,0.212,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,98.0,1.615,2.9263,33.4537,1027.2292,0.12,0.148,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,99.0,1.594,2.9252,33.4607,1027.241,0.13,0.213,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,100.0,1.581,2.9246,33.4668,1027.2516,0.13,0.181,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,101.0,1.571,2.9242,33.4716,1027.261,0.13,0.21,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,102.0,1.568,2.9238,33.4687,1027.2637,0.13,0.204,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,103.0,1.564,2.9239,33.4733,1027.2724,0.12,0.183,0.0,Seabird SBE19plus
