=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 78
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-02-11 09:25:00 UTC
latitude:  69.0980682
longitude: -51.9754275
ttf:       220
nsat:      4
min snr:   27
mean snr:  34
max snr:   40
hdop:      2.3

fix kind:  DiveEnd
fix time:  2022-02-16 11:59:00 UTC
latitude:  69.1007741
longitude: -51.9643376
ttf:       70
nsat:      7
min snr:   0
mean snr:  33
max snr:   43
hdop:      1.2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        467.8400 │             2.8380 │        34.2190 │          60600 ║
║        468.0000 │             2.8420 │        34.2170 │          62400 ║
║        468.1200 │             2.8420 │        34.2180 │          64200 ║
║        468.2400 │             2.8440 │        34.2200 │          66000 ║
║        468.3200 │             2.8430 │        34.2210 │          67800 ║
║        468.3600 │             2.8440 │        34.2190 │          69600 ║
║        468.4000 │             2.8460 │        34.2170 │          71400 ║
║        468.4400 │             2.8460 │        34.2210 │          73200 ║
║        468.4000 │             2.8470 │        34.2190 │          75000 ║
║        468.3600 │             2.8440 │        34.2180 │          76800 ║
║        468.3200 │             2.8460 │        34.2180 │          78600 ║
║        468.2000 │             2.8450 │        34.2180 │          80400 ║
║        468.1200 │             2.8420 │        34.2160 │          82200 ║
║        468.0000 │             2.8410 │        34.2160 │          84000 ║
║        467.8800 │             2.8400 │        34.2160 │          85800 ║
║        467.7600 │             2.8400 │        34.2130 │          87600 ║
║        467.6800 │             2.8370 │        34.2150 │          89400 ║
║        467.6400 │             2.8320 │        34.2160 │          91200 ║
║        467.6000 │             2.8300 │        34.2120 │          93000 ║
║        467.6000 │             2.8290 │        34.2110 │          94800 ║
║        467.6000 │             2.8240 │        34.2150 │          96600 ║
║        467.6400 │             2.8240 │        34.2080 │          98400 ║
║        467.6400 │             2.8210 │        34.2110 │         100200 ║
║        467.6800 │             2.8220 │        34.2110 │         102000 ║
║        467.6800 │             2.8210 │        34.2100 │         103800 ║
║        467.7200 │             2.8210 │        34.2130 │         105600 ║
║        467.7600 │             2.8210 │        34.2110 │         107400 ║
║        467.8000 │             2.8220 │        34.2100 │         109200 ║
║        467.8400 │             2.8220 │        34.2090 │         111000 ║
║        467.8800 │             2.8220 │        34.2090 │         112800 ║
║        467.8800 │             2.8220 │        34.2090 │         114600 ║
║        467.8400 │             2.8220 │        34.2080 │         116400 ║
║        467.7600 │             2.8200 │        34.2110 │         118200 ║
║        467.6800 │             2.8190 │        34.2080 │         120000 ║
║        467.6000 │             2.8200 │        34.2060 │         121800 ║
║        467.5200 │             2.8210 │        34.2070 │         123600 ║
║        467.4400 │             2.8220 │        34.2070 │         125400 ║
║        467.3200 │             2.8220 │        34.2080 │         127200 ║
║        467.2000 │             2.8220 │        34.2080 │         129000 ║
║        467.1200 │             2.8230 │        34.2080 │         130800 ║
║        467.0400 │             2.8230 │        34.2070 │         132600 ║
║        466.9600 │             2.8220 │        34.2070 │         134400 ║
║        466.9200 │             2.8220 │        34.2090 │         136200 ║
║        466.9600 │             2.8230 │        34.2070 │         138000 ║
║        467.0000 │             2.8230 │        34.2080 │         139800 ║
║        467.1200 │             2.8230 │        34.2050 │         141600 ║
║        467.2400 │             2.8250 │        34.2070 │         143400 ║
║        467.4000 │             2.8270 │        34.2090 │         145200 ║
║        467.6000 │             2.8260 │        34.2080 │         147000 ║
║        467.7600 │             2.8280 │        34.2070 │         148800 ║
║        467.9600 │             2.8270 │        34.2090 │         150600 ║
║        468.1200 │             2.8280 │        34.2060 │         152400 ║
║        468.2800 │             2.8280 │        34.2090 │         154200 ║
║        468.4000 │             2.8280 │        34.2100 │         156000 ║
║        468.5200 │             2.8290 │        34.2080 │         157800 ║
║        468.5600 │             2.8270 │        34.2100 │         159600 ║
║        468.6000 │             2.8290 │        34.2090 │         161400 ║
║        468.5600 │             2.8290 │        34.2080 │         163200 ║
║        468.5200 │             2.8300 │        34.2070 │         165000 ║
║        468.4000 │             2.8330 │        34.2070 │         166800 ║
║        468.2800 │             2.8320 │        34.2060 │         168600 ║
║        468.1600 │             2.8310 │        34.2110 │         170400 ║
║        468.0000 │             2.8320 │        34.2070 │         172200 ║
║        467.8400 │             2.8320 │        34.2070 │         174000 ║
║        467.6800 │             2.8320 │        34.2070 │         175800 ║
║        467.5600 │             2.8330 │        34.2080 │         177600 ║
║        467.4400 │             2.8320 │        34.2070 │         179400 ║
║        467.3600 │             2.8320 │        34.2040 │         181200 ║
║        467.3200 │             2.8310 │        34.2070 │         183000 ║
║        467.2800 │             2.8300 │        34.2090 │         184800 ║
║        467.2800 │             2.8300 │        34.2070 │         186600 ║
║        467.3200 │             2.8290 │        34.2080 │         188400 ║
║        467.4000 │             2.8280 │        34.2070 │         190200 ║
║        467.5200 │             2.8300 │        34.2100 │         192000 ║
║        467.6400 │             2.8360 │        34.2100 │         193800 ║
║        467.7600 │             2.8410 │        34.2060 │         195600 ║
║        467.8400 │             2.8410 │        34.2100 │         197400 ║
║        467.9200 │             2.8390 │        34.2110 │         199200 ║
║        467.9200 │             2.8370 │        34.2090 │         201000 ║
║        467.9200 │             2.8360 │        34.2090 │         202800 ║
║        467.9200 │             2.8350 │        34.2090 │         204600 ║
║        467.9200 │             2.8440 │        34.2080 │         206400 ║
║        467.8400 │             2.8490 │        34.2110 │         208200 ║
║        467.7600 │             2.8510 │        34.2100 │         210000 ║
║        467.6400 │             2.8540 │        34.2100 │         211800 ║
║        467.5200 │             2.8560 │        34.2100 │         213600 ║
║        467.4000 │             2.8570 │        34.2090 │         215400 ║
║        467.2400 │             2.8590 │        34.2130 │         217200 ║
║        467.1200 │             2.8590 │        34.2140 │         219000 ║
║        467.0000 │             2.8600 │        34.2130 │         220800 ║
║        466.9200 │             2.8590 │        34.2100 │         222600 ║
║        466.8800 │             2.8580 │        34.2090 │         224400 ║
║        466.8800 │             2.8590 │        34.2100 │         226200 ║
║        466.9600 │             2.8580 │        34.2080 │         228000 ║
║        467.0800 │             2.8580 │        34.2090 │         229800 ║
║        467.2400 │             2.8580 │        34.2070 │         231600 ║
║        467.4400 │             2.8570 │        34.2090 │         233400 ║
║        467.6000 │             2.8570 │        34.2060 │         235200 ║
║        467.8000 │             2.8560 │        34.2060 │         237000 ║
║        468.0000 │             2.8560 │        34.2070 │         238800 ║
║        468.2000 │             2.8330 │        34.2030 │         240600 ║
║        468.4000 │             2.8530 │        34.2050 │         242400 ║
║        468.5600 │             2.8540 │        34.2060 │         244200 ║
║        468.6800 │             2.8540 │        34.2030 │         246000 ║
║        468.7600 │             2.8550 │        34.2070 │         247800 ║
║        468.7600 │             2.8530 │        34.2060 │         249600 ║
║        468.7200 │             2.8510 │        34.2070 │         251400 ║
║        468.6400 │             2.8420 │        34.2030 │         253200 ║
║        468.5200 │             2.8460 │        34.2030 │         255000 ║
║        468.3600 │             2.8460 │        34.2050 │         256800 ║
║        468.2000 │             2.8430 │        34.2060 │         258600 ║
║        468.0000 │             2.8420 │        34.2020 │         260400 ║
║        467.8400 │             2.8410 │        34.2030 │         262200 ║
║        467.6400 │             2.8380 │        34.2020 │         264000 ║
║        467.5200 │             2.8350 │        34.1990 │         265800 ║
║        467.3600 │             2.8320 │        34.2020 │         267600 ║
║        467.2400 │             2.8320 │        34.1990 │         269400 ║
║        467.1600 │             2.8330 │        34.1990 │         271200 ║
║        467.1200 │             2.8220 │        34.1970 │         273000 ║
║        467.1200 │             2.8240 │        34.1970 │         274800 ║
║        467.1600 │             2.8220 │        34.1970 │         276600 ║
║        467.2800 │             2.8230 │        34.1960 │         278400 ║
║        467.3600 │             2.8230 │        34.1970 │         280200 ║
║        467.4800 │             2.8230 │        34.1980 │         282000 ║
║        467.6000 │             2.8280 │        34.1960 │         283800 ║
║        467.7200 │             2.8280 │        34.1940 │         285600 ║
║        467.8000 │             2.8350 │        34.1980 │         287400 ║
║        467.8800 │             2.8290 │        34.1900 │         289200 ║
║        467.9200 │             2.8270 │        34.1990 │         291000 ║
║        467.9200 │             2.8260 │        34.1980 │         292800 ║
║        467.8800 │             2.8290 │        34.1010 │         294600 ║
║        467.8400 │             2.8290 │        34.1990 │         296400 ║
║        467.7200 │             2.8280 │        34.1990 │         298200 ║
║        467.6000 │             2.8280 │        34.2010 │         300000 ║
║        467.4400 │             2.8280 │        34.1960 │         301800 ║
║        467.3200 │             2.8310 │        34.1960 │         303600 ║
║        467.1200 │             2.8360 │        34.1980 │         305400 ║
║        466.9600 │             2.8660 │        34.2050 │         307200 ║
║        466.8400 │             2.8610 │        34.2020 │         309000 ║
║        466.7600 │             2.8640 │        34.2000 │         310800 ║
║        466.6800 │             2.8570 │        34.2050 │         312600 ║
║        466.7200 │             2.8570 │        34.2020 │         314400 ║
║        466.7600 │             2.8580 │        34.2020 │         316200 ║
║        466.8800 │             2.8590 │        34.2070 │         318000 ║
║        467.0400 │             2.8610 │        34.2040 │         319800 ║
║        467.2400 │             2.8600 │        34.2060 │         321600 ║
║        467.4800 │             2.8610 │        34.2070 │         323400 ║
║        467.7200 │             2.8630 │        34.2050 │         325200 ║
║        467.9600 │             2.8640 │        34.2060 │         327000 ║
║        468.1600 │             2.8650 │        34.2040 │         328800 ║
║        468.4000 │             2.8660 │        34.2040 │         330600 ║
║        468.5600 │             2.8670 │        34.2050 │         332400 ║
║        468.7200 │             2.8680 │        34.2050 │         334200 ║
║        468.8000 │             2.8700 │        34.2070 │         336000 ║
║        468.8000 │             2.8690 │        34.2050 │         337800 ║
║        468.7600 │             2.8680 │        34.2050 │         339600 ║
║        468.6800 │             2.8710 │        34.2050 │         341400 ║
║        468.6000 │             2.8710 │        34.2060 │         343200 ║
║        468.4000 │             2.8690 │        34.2060 │         345000 ║
