=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 67
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-12-17 01:41:00 UTC
latitude:  69.0917445
longitude: -52.0037365
ttf:       0
nsat:      7
min snr:   32
mean snr:  38
max snr:   45
hdop:      1.4

fix kind:  DiveEnd
fix time:  2021-12-22 04:27:00 UTC
latitude:  69.0915683
longitude: -52.0085745
ttf:       140
nsat:      1
min snr:   0
mean snr:  0
max snr:   0
hdop:      1.2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        445.7200 │             2.7430 │        34.2130 │         211800 ║
║        445.5600 │             2.7440 │        34.2110 │         213600 ║
║        445.4800 │             2.7310 │        34.2070 │         215400 ║
║        445.4400 │             2.7330 │        34.2060 │         217200 ║
║        445.4000 │             2.7380 │        34.2120 │         219000 ║
║        445.4400 │             2.7440 │        34.2090 │         220800 ║
║        445.5200 │             2.7440 │        34.2110 │         222600 ║
║        445.6000 │             2.7450 │        34.2090 │         224400 ║
║        445.7200 │             2.7480 │        34.2090 │         226200 ║
║        445.8400 │             2.7540 │        34.2120 │         228000 ║
║        445.9600 │             2.7530 │        34.2110 │         229800 ║
║        446.0800 │             2.7510 │        34.2060 │         231600 ║
║        446.1600 │             2.7520 │        34.2120 │         233400 ║
║        446.2400 │             2.7520 │        34.2110 │         235200 ║
║        446.2800 │             2.7510 │        34.2100 │         237000 ║
║        446.2400 │             2.7510 │        34.2110 │         238800 ║
║        446.2000 │             2.7510 │        34.2120 │         240600 ║
║        446.0800 │             2.7620 │        34.2060 │         242400 ║
║        445.9200 │             2.7700 │        34.2160 │         244200 ║
║        445.7600 │             2.7630 │        34.2070 │         246000 ║
║        445.6000 │             2.7620 │        34.2100 │         247800 ║
║        445.4400 │             2.7600 │        34.2090 │         249600 ║
║        445.2800 │             2.7630 │        34.2120 │         251400 ║
║        445.1200 │             2.7590 │        34.2110 │         253200 ║
║        445.0000 │             2.7550 │        34.2100 │         255000 ║
║        444.9600 │             2.7530 │        34.2110 │         256800 ║
║        444.9200 │             2.7530 │        34.2100 │         258600 ║
║        444.9600 │             2.7500 │        34.2090 │         260400 ║
║        445.0400 │             2.7460 │        34.2070 │         262200 ║
║        445.2000 │             2.7470 │        34.2090 │         264000 ║
║        445.4000 │             2.7490 │        34.2090 │         265800 ║
║        445.6400 │             2.7490 │        34.2100 │         267600 ║
║        445.8800 │             2.7490 │        34.2120 │         269400 ║
║        446.1600 │             2.7490 │        34.2110 │         271200 ║
║        446.4400 │             2.7490 │        34.2090 │         273000 ║
║        446.6800 │             2.7480 │        34.2110 │         274800 ║
