=============
Float 9313 (Alamo/Alto)
-------------
Float 9313, Dive 41
Product ID STANDARD
Software Version 10.2.2
Trajectory
GPS fixes:
fix kind:  DiveEnd
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

Fall/Rise series:
╔════════════╤═════════════════╤════════╗
║       time │ pressure (dBar) │   code ║
╟────────────┼─────────────────┼────────╢
║        723.0000 │             3.5520 │        34.4330 │       3.5620 ║
║        721.2800 │             3.5530 │        34.4320 │       3.4770 ║
║        718.9200 │             3.5520 │        34.4320 │       3.5830 ║
║        716.5600 │             3.5500 │        34.4310 │       3.4770 ║
║        715.0000 │             3.5500 │        34.4340 │       3.5620 ║
║        712.8800 │             3.5510 │        34.4330 │       3.5830 ║
║        710.3200 │             3.5500 │        34.4320 │       3.5190 ║
║        708.7200 │             3.5490 │        34.4310 │       3.6470 ║
║        707.1600 │             3.5490 │        34.4320 │       3.5620 ║
║        704.8400 │             3.5490 │        34.4320 │       3.5620 ║
║        702.7200 │             3.5490 │        34.4320 │       3.5190 ║
║        700.8800 │             3.5490 │        34.4310 │       3.4770 ║
║        699.2800 │             3.5490 │        34.4320 │       3.5620 ║
║        696.9200 │             3.5480 │        34.4320 │       3.5410 ║
║        694.6000 │             3.5480 │        34.4320 │       3.5620 ║
║        693.2000 │             3.5480 │        34.4320 │       3.4340 ║
║        691.4400 │             3.5490 │        34.4310 │       3.5620 ║
║        689.0800 │             3.5470 │        34.4320 │       3.4770 ║
║        686.7600 │             3.5470 │        34.4310 │       3.6050 ║
║        685.2000 │             3.5460 │        34.4310 │       3.6470 ║
║        682.9600 │             3.5420 │        34.4280 │       3.4980 ║
║        680.5200 │             3.5420 │        34.4290 │       3.4770 ║
║        678.9600 │             3.5420 │        34.4300 │       3.6470 ║
║        677.4000 │             3.5430 │        34.4310 │       3.4770 ║
║        675.1200 │             3.5420 │        34.4290 │       3.5620 ║
║        673.0000 │             3.5430 │        34.4310 │       3.5190 ║
║        671.1600 │             3.5430 │        34.4300 │       3.5190 ║
║        668.8000 │             3.5390 │        34.4260 │       3.5620 ║
║        666.4400 │             3.5350 │        34.4270 │       3.6470 ║
║        664.9600 │             3.5350 │        34.4270 │       3.6050 ║
║        663.5600 │             3.5360 │        34.4280 │       3.5190 ║
║        660.9200 │             3.5360 │        34.4280 │       3.5620 ║
║        658.5600 │             3.5360 │        34.4280 │       3.4770 ║
║        657.0000 │             3.5350 │        34.4280 │       3.4770 ║
║        654.7200 │             3.5350 │        34.4280 │       3.4550 ║
║        652.2800 │             3.5350 │        34.4270 │       3.4770 ║
║        650.6800 │             3.5350 │        34.4270 │       3.6470 ║
║        649.0800 │             3.5340 │        34.4270 │       3.5190 ║
║        647.4800 │             3.5340 │        34.4270 │       3.5190 ║
║        645.2000 │             3.5340 │        34.4280 │       3.4550 ║
║        642.7600 │             3.5350 │        34.4270 │       3.5620 ║
║        641.1600 │             3.5340 │        34.4260 │       3.6050 ║
║        639.5600 │             3.5330 │        34.4270 │       3.4340 ║
║        637.2000 │             3.5330 │        34.4270 │       3.5410 ║
║        634.9600 │             3.5320 │        34.4270 │       3.4770 ║
║        633.2800 │             3.5330 │        34.4260 │       3.4770 ║
║        631.6000 │             3.5310 │        34.4250 │       3.5620 ║
║        629.2000 │             3.5300 │        34.4250 │       3.4770 ║
║        626.8400 │             3.5290 │        34.4250 │       3.5190 ║
║        625.3200 │             3.5270 │        34.4250 │       3.5620 ║
║        623.0000 │             3.5270 │        34.4240 │       3.5830 ║
║        620.4400 │             3.5260 │        34.4240 │       3.6050 ║
║        618.8800 │             3.5260 │        34.4250 │       3.5190 ║
║        617.2800 │             3.5260 │        34.4250 │       3.4770 ║
║        615.0400 │             3.5260 │        34.4250 │       3.5620 ║
║        612.5200 │             3.5260 │        34.4230 │       3.5190 ║
║        610.9200 │             3.5240 │        34.4240 │       3.4340 ║
║        609.3600 │             3.5230 │        34.4230 │       3.6050 ║
║        607.0000 │             3.5230 │        34.4240 │       3.5410 ║
║        604.8000 │             3.5230 │        34.4230 │       3.6050 ║
║        603.0400 │             3.5240 │        34.4220 │       3.5620 ║
║        601.4800 │             3.5240 │        34.4230 │       3.5620 ║
║        599.1200 │             3.5230 │        34.4220 │       3.5830 ║
║        596.7200 │             3.5220 │        34.4210 │       3.5190 ║
║        595.3200 │             3.5210 │        34.4210 │       3.5190 ║
║        593.5600 │             3.5220 │        34.4210 │       3.6050 ║
║        591.1600 │             3.5190 │        34.4200 │       3.5410 ║
║        588.8000 │             3.5180 │        34.4190 │       3.6050 ║
║        587.2000 │             3.5170 │        34.4190 │       3.5620 ║
║        585.0400 │             3.5170 │        34.4190 │       3.4340 ║
║        582.4400 │             3.5200 │        34.4200 │       3.5620 ║
║        580.8400 │             3.5210 │        34.4200 │       3.4770 ║
║        579.2400 │             3.5220 │        34.4210 │       3.4770 ║
║        576.8800 │             3.5250 │        34.4200 │       3.4550 ║
║        574.7600 │             3.5250 │        34.4200 │       3.4340 ║
║        572.8800 │             3.5250 │        34.4190 │       3.5620 ║
║        571.2800 │             3.5240 │        34.4190 │       3.4340 ║
║        568.8800 │             3.5240 │        34.4190 │       3.5620 ║
║        566.5200 │             3.5240 │        34.4190 │       3.5190 ║
║        565.1200 │             3.5230 │        34.4190 │       3.5620 ║
║        563.3200 │             3.5230 │        34.4190 │       3.5190 ║
║        560.9200 │             3.5240 │        34.4190 │       3.4550 ║
║        558.5600 │             3.5250 │        34.4200 │       3.4340 ║
║        556.9600 │             3.5250 │        34.4180 │       3.5190 ║
║        555.5200 │             3.5220 │        34.4190 │       3.5190 ║
║        553.0000 │             3.5230 │        34.4190 │       3.4980 ║
║        550.6000 │             3.5270 │        34.4180 │       3.6470 ║
║        549.0400 │             3.5260 │        34.4180 │       3.6050 ║
║        547.4400 │             3.5260 │        34.4180 │       3.5190 ║
║        545.2800 │             3.5270 │        34.4190 │       3.5830 ║
║        542.7200 │             3.5310 │        34.4190 │       3.4770 ║
║        541.1200 │             3.5300 │        34.4180 │       3.5190 ║
║        539.5200 │             3.5290 │        34.4180 │       3.6470 ║
║        537.2000 │             3.5290 │        34.4190 │       3.5410 ║
║        535.0400 │             3.5320 │        34.4190 │       3.4340 ║
║        533.1600 │             3.5330 │        34.4190 │       3.6050 ║
║        531.6000 │             3.5330 │        34.4190 │       3.3910 ║
║        529.2000 │             3.5330 │        34.4190 │       3.5410 ║
║        526.8400 │             3.5330 │        34.4180 │       3.6470 ║
║        525.4800 │             3.5340 │        34.4190 │       3.6050 ║
║        522.8800 │             3.5340 │        34.4180 │       3.5190 ║
║        520.5200 │             3.5340 │        34.4180 │       3.4770 ║
║        518.9600 │             3.5330 │        34.4190 │       3.5190 ║
║        517.4000 │             3.5330 │        34.4180 │       3.4770 ║
║        515.1200 │             3.5330 │        34.4180 │       3.4340 ║
║        512.6400 │             3.5330 │        34.4180 │       3.5190 ║
║        511.0400 │             3.5340 │        34.4180 │       3.6050 ║
║        509.4800 │             3.5350 │        34.4180 │       3.5620 ║
║        507.1600 │             3.5350 │        34.4180 │       3.5190 ║
║        505.0400 │             3.5370 │        34.4190 │       3.5190 ║
║        503.1200 │             3.5380 │        34.4170 │       3.5620 ║
║        501.5200 │             3.5380 │        34.4170 │       3.5190 ║
║        499.1600 │             3.5380 │        34.4180 │       3.4770 ║
║        496.8400 │             3.5390 │        34.4180 │       3.5620 ║
║        495.4400 │             3.5380 │        34.4190 │       3.5190 ║
║        492.8000 │             3.5390 │        34.4180 │       3.4980 ║
║        490.4400 │             3.5400 │        34.4170 │       3.6050 ║
║        488.8400 │             3.5400 │        34.4170 │       3.3910 ║
║        487.2400 │             3.5400 │        34.4170 │       3.5620 ║
║        484.9600 │             3.5390 │        34.4180 │       3.5410 ║
║        482.4400 │             3.5400 │        34.4170 │       3.4340 ║
║        480.8800 │             3.5400 │        34.4170 │       3.4770 ║
