date,lon,lat,temperature,salinity,pressure,depth
04/06/2023,-53.1494125,69.0260904,3.1910000000000007,34.28,242.52,239.93522557619676
09/06/2023,-53.1512597,69.018184,3.242000000000001,34.276,242.56,239.9747760514827
14/06/2023,-53.152069,69.0077973,3.048,34.227,242.44,239.85612460272148
19/06/2023,-53.1640575,68.9952264,3.0500000000000007,34.232,242.52,239.93522557619676
24/06/2023,-53.1564977,68.9960108,2.9530000000000003,34.214,242.56,239.9747760514827
29/06/2023,-53.1669505,68.9848671,2.737,34.166,242.52,239.93522557619676
04/07/2023,-53.1542229,68.9937736,2.484,34.095,242.52,239.93522557619676
09/07/2023,-53.1820839,68.9527501,2.7009999999999996,34.145,242.52,239.93522557619676
14/07/2023,-53.1635696,68.9766998,2.7670000000000003,34.167,242.52,239.93522557619676
19/07/2023,-53.1503681,69.0067739,2.5570000000000004,34.105,242.48,239.89567509327634
24/07/2023,-53.1505434,69.0011848,2.442,34.07,242.52,239.93522557619676
29/07/2023,-53.1606733,69.0004072,2.2489999999999997,34.019,242.52,239.93522557619676
03/08/2023,-53.1399873,68.9974028,2.33,34.039,242.52,239.93522557619676
08/08/2023,-53.1204668,68.9980214,2.3259999999999996,34.042,242.48,239.89567509327634
13/08/2023,-53.108818,69.0109901,2.678,34.134,242.52,239.93522557619676
19/08/2023,-53.0701008,69.026052,2.276,34.016,242.48,239.89567509327634
24/08/2023,-53.0493142,69.0292304,2.2539999999999996,34.015,242.52,239.93522557619676
29/08/2023,-53.0382769,69.046612,2.417,34.053,242.52,239.93522557619676
03/09/2023,-53.086929,69.0717979,2.1130000000000004,33.979,242.48,239.89567509327634
08/09/2023,-53.103968,69.0376126,1.8079999999999998,33.883,242.48,239.89567509327634
