=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 51
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-09-26 05:06:00 UTC
latitude:  69.0960518
longitude: -51.975719
ttf:       0
nsat:      4
min snr:   28
mean snr:  36
max snr:   43
hdop:      2.7

fix kind:  DiveEnd
fix time:  2021-10-01 07:44:00 UTC
latitude:  69.0985141
longitude: -51.9722853
ttf:       80
nsat:      9
min snr:   0
mean snr:  26
max snr:   39
hdop:      0.8

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        467.6800 │             2.6450 │        34.2090 │          78600 ║
║        467.6000 │             2.6450 │        34.2080 │          80400 ║
║        467.5600 │             2.6460 │        34.2100 │          82200 ║
║        467.5600 │             2.6460 │        34.2090 │          84000 ║
║        467.5600 │             2.6450 │        34.2120 │          85800 ║
║        467.6400 │             2.6460 │        34.2100 │          87600 ║
║        467.7200 │             2.6450 │        34.2090 │          89400 ║
║        467.8400 │             2.6450 │        34.2090 │          91200 ║
║        468.0000 │             2.6440 │        34.2090 │          93000 ║
║        468.1600 │             2.6430 │        34.2090 │          94800 ║
║        468.3200 │             2.6440 │        34.2090 │          96600 ║
║        468.4800 │             2.6430 │        34.2060 │          98400 ║
║        468.6400 │             2.6360 │        34.2070 │         100200 ║
║        468.8000 │             2.6190 │        34.2080 │         102000 ║
║        468.8800 │             2.6130 │        34.1960 │         103800 ║
║        468.9600 │             2.6100 │        34.2020 │         105600 ║
║        468.9600 │             2.6130 │        34.2010 │         107400 ║
║        469.0000 │             2.6080 │        34.1990 │         109200 ║
║        468.9200 │             2.6170 │        34.1950 │         111000 ║
║        468.8800 │             2.6290 │        34.2040 │         112800 ║
║        468.7600 │             2.6320 │        34.2030 │         114600 ║
║        468.6800 │             2.6250 │        34.2050 │         116400 ║
║        468.5600 │             2.6290 │        34.2020 │         118200 ║
║        468.4400 │             2.6210 │        34.2010 │         120000 ║
║        468.3200 │             2.6240 │        34.2010 │         121800 ║
║        468.2400 │             2.6340 │        34.2050 │         123600 ║
║        468.1600 │             2.6350 │        34.2050 │         125400 ║
║        468.1200 │             2.6370 │        34.2040 │         127200 ║
║        468.0800 │             2.6400 │        34.2060 │         129000 ║
║        468.0400 │             2.6400 │        34.2070 │         130800 ║
║        468.0800 │             2.6400 │        34.2050 │         132600 ║
║        468.1200 │             2.6410 │        34.2050 │         134400 ║
║        468.2000 │             2.6410 │        34.2060 │         136200 ║
║        468.2400 │             2.6400 │        34.2050 │         138000 ║
║        468.3200 │             2.6400 │        34.2070 │         139800 ║
║        468.4000 │             2.6390 │        34.2050 │         141600 ║
║        468.4400 │             2.6380 │        34.2060 │         143400 ║
║        468.4800 │             2.6360 │        34.2040 │         145200 ║
║        468.5200 │             2.6300 │        34.2090 │         147000 ║
║        468.5600 │             2.6340 │        34.2010 │         148800 ║
║        468.5200 │             2.6320 │        34.2040 │         150600 ║
║        468.4800 │             2.6280 │        34.2050 │         152400 ║
║        468.4400 │             2.6230 │        34.2020 │         154200 ║
║        468.3600 │             2.6200 │        34.2010 │         156000 ║
║        468.2400 │             2.6180 │        34.1970 │         157800 ║
║        468.1600 │             2.6140 │        34.1470 │         159600 ║
║        468.0400 │             2.6180 │        34.1060 │         161400 ║
║        467.9600 │             2.6200 │        34.1140 │         163200 ║
║        467.8400 │             2.6240 │        34.0980 │         165000 ║
║        467.8000 │             2.6270 │        34.1060 │         166800 ║
║        467.7200 │             2.6290 │        34.2030 │         168600 ║
║        467.7200 │             2.6330 │        34.2040 │         170400 ║
║        467.7200 │             2.6350 │        34.2040 │         172200 ║
║        467.7200 │             2.6350 │        34.2040 │         174000 ║
║        467.7600 │             2.6380 │        34.2050 │         175800 ║
║        467.8400 │             2.6350 │        34.2050 │         177600 ║
║        467.9200 │             2.6350 │        34.2050 │         179400 ║
║        468.0400 │             2.6340 │        34.2040 │         181200 ║
║        468.1600 │             2.6330 │        34.2040 │         183000 ║
║        468.2800 │             2.6320 │        34.2040 │         184800 ║
║        468.4000 │             2.5870 │        34.1970 │         186600 ║
║        468.5600 │             2.6000 │        34.1960 │         188400 ║
║        468.6800 │             2.5880 │        34.1920 │         190200 ║
║        468.8000 │             2.5860 │        34.1990 │         192000 ║
║        468.8400 │             2.5840 │        34.1900 │         193800 ║
║        468.9200 │             2.5860 │        34.1930 │         195600 ║
