date,lon,lat,temperature,salinity,pressure,depth,potential_density,sigma_theta
2021-04-30T03:01:00Z,-51.9427081,69.0410669,-0.30400000000000027,33.482,92.48,91.52758752287755,1027.2127429307225,27.21274293072247
2021-04-30T03:01:00Z,-51.9427081,69.0410669,-0.5629999999999997,33.521,91.56,90.61726430550969,1027.2516266006598,27.251626600659847
2021-04-30T03:01:00Z,-51.9427081,69.0410669,-0.6680000000000001,33.518,90.52,89.58819839135201,1027.2488283485752,27.248828348575216
2021-04-30T03:01:00Z,-51.9427081,69.0410669,-0.694,33.514,89.4,88.47996776197097,1027.241361494643,27.241361494642888
2021-04-30T03:01:00Z,-51.9427081,69.0410669,-0.6970000000000001,33.507,88.36,87.45089107852928,1027.230880197883,27.230880197882925
2021-04-30T03:01:00Z,-51.9427081,69.0410669,-0.7060000000000004,33.507,87.48,86.58012983466729,1027.227046904383,27.227046904383087
2021-04-30T03:01:00Z,-51.9427081,69.0410669,-0.6829999999999998,33.508,86.6,85.70936487803287,1027.2226590547552,27.22265905475524
2021-04-30T03:01:00Z,-51.9427081,69.0410669,-0.6829999999999998,33.493,85.56,84.68027423333939,1027.205618503083,27.205618503083087
2021-04-30T03:01:00Z,-51.9427081,69.0410669,-0.8600000000000003,33.498,82.52,81.67213338284334,1027.2023786973082,27.202378697308177
2021-05-01T02:53:00Z,-51.9456884,69.0432805,0.03500000000000014,33.587,96.52,95.52504579827632,1027.2991572717963,27.299157271796275
2021-05-01T02:53:00Z,-51.9456884,69.0432805,-0.0519999999999996,33.588,95.52,94.53558321393918,1027.2997438117611,27.299743811761118
2021-05-01T02:53:00Z,-51.9456884,69.0432805,-0.1379999999999999,33.562,94.6,93.62527340300161,1027.2788964014408,27.27889640144076
2021-05-01T02:53:00Z,-51.9456884,69.0432805,-0.274,33.565,93.52,92.55664366552847,1027.282883581383,27.282883581382976
2021-05-01T02:53:00Z,-51.9456884,69.0432805,-0.2560000000000002,33.563,92.48,91.52758752287755,1027.2754357218403,27.275435721840267
2021-05-01T02:53:00Z,-51.9456884,69.0432805,-0.26400000000000023,33.56,91.48,90.5381055731194,1027.268642624356,27.268642624356062
2021-05-01T02:53:00Z,-51.9456884,69.0432805,-0.26900000000000013,33.555,90.56,89.62777794546652,1027.2604791083202,27.26047910832017
2021-05-01T02:53:00Z,-51.9456884,69.0432805,-0.3150000000000004,33.538,89.48,88.55912729207321,1027.2438910841538,27.243891084153802
2021-05-01T02:53:00Z,-51.9456884,69.0432805,-0.3550000000000004,33.544,88.44,87.53005100750669,1027.2456410261896,27.24564102618956
2021-05-01T02:53:00Z,-51.9456884,69.0432805,-0.33499999999999996,33.546,87.44,86.5405496899122,1027.2415205397112,27.241520539711246
2021-05-01T02:53:00Z,-51.9456884,69.0432805,-0.30299999999999994,33.538,86.52,85.63020424332184,1027.2291759350373,27.229175935037347
2021-05-01T02:53:00Z,-51.9456884,69.0432805,-0.31899999999999995,33.536,85.56,84.68027423333939,1027.2237482424403,27.22374824244025
2021-05-01T02:53:00Z,-51.9456884,69.0432805,-0.32399999999999984,33.526,84.52,83.65117840273068,1027.2109886409717,27.210988640971664
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.2030000000000003,33.552,101.48,100.43270937438936,1027.3069607316497,27.306960731649724
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.21799999999999997,33.549,100.56,99.52242584346033,1027.300907292148,27.30090729214794
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.2679999999999998,33.534,99.52,98.49340479359077,1027.2863624955282,27.286362495528238
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.3520000000000003,33.526,98.44,97.4248005244583,1027.2788283905732,27.278828390573153
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.42799999999999994,33.524,97.52,96.51450358956535,1027.2764002809167,27.276400280916732
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.45500000000000007,33.524,96.6,95.60420259796167,1027.2732522542155,27.27325225421555
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.4640000000000004,33.523,95.56,94.57516180934103,1027.2678908340108,27.267890834010814
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.47499999999999964,33.517,94.48,93.50653704160398,1027.2584116369874,27.258411636987375
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.45399999999999974,33.511,93.6,92.63580161559722,1027.2484214816675,27.248421481667492
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.4370000000000003,33.513,92.56,91.60674587177073,1027.2442719364099,27.24427193640986
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.42600000000000016,33.509,91.52,90.57768494314956,1027.235578731809,27.235578731809028
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.4249999999999998,33.499,90.48,89.54861882956726,1027.2225292921646,27.22252929216461
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.45199999999999996,33.507,89.4,88.47996776197097,1027.2250340792762,27.225034079276156
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.41300000000000026,33.497,88.52,87.60921090580095,1027.2109971025789,27.210997102578858
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.4240000000000004,33.492,87.56,86.6592901011645,1027.202900369167,27.202900369167082
2021-05-02T02:45:00Z,-51.9464142,69.0449451,-0.41500000000000004,33.496,86.52,85.63020424332184,1027.2007246784485,27.200724678448523
2021-05-05T02:39:00Z,-51.9468658,69.0459104,0.5439999999999996,33.544,106.48,105.37983155399078,1027.2834067398544,27.2834067398544
2021-05-05T02:39:00Z,-51.9468658,69.0459104,0.26700000000000035,33.563,104.48,103.40099705790959,1027.3051757124792,27.30517571247924
2021-05-05T02:39:00Z,-51.9468658,69.0459104,0.266,33.559,103.6,102.53030380744558,1027.2978417140941,27.297841714094147
2021-05-05T02:39:00Z,-51.9468658,69.0459104,0.21699999999999964,33.543,102.56,101.50129790891954,1027.2828102968774,27.282810296877415
2021-05-05T02:39:00Z,-51.9468658,69.0459104,0.18200000000000038,33.541,101.52,100.4722868271991,1027.2781873794715,27.278187379471547
2021-05-05T02:39:00Z,-51.9468658,69.0459104,0.15000000000000036,33.534,100.48,99.44327056211795,1027.2693761019682,27.26937610196819
2021-05-05T02:39:00Z,-51.9468658,69.0459104,0.08199999999999985,33.521,99.44,98.41424911350963,1027.2576715351186,27.25767153511856
2021-05-05T02:39:00Z,-51.9468658,69.0459104,0.02400000000000002,33.528,98.6,97.58311262077642,1027.2623554411746,27.262355441174577
2021-05-05T02:39:00Z,-51.9468658,69.0459104,-0.027000000000000135,33.517,97.56,96.5540818015236,1027.2512447931854,27.25124479318538
2021-05-05T02:39:00Z,-51.9468658,69.0459104,-0.16800000000000015,33.484,96.52,95.52504579827632,1027.226991076826,27.226991076825925
2021-05-05T02:39:00Z,-51.9468658,69.0459104,-0.29600000000000026,33.487,95.48,94.49600461086817,1027.2307029053532,27.230702905353155
2021-05-05T02:39:00Z,-51.9468658,69.0459104,-0.7809999999999997,33.457,93.52,92.55664366552847,1027.218915690861,27.218915690860968
2021-05-05T02:39:00Z,-51.9468658,69.0459104,-0.8650000000000002,33.461,92.6,91.64632503471258,1027.2211456597884,27.221145659788363
2021-05-05T02:39:00Z,-51.9468658,69.0459104,-1.169,33.441,89.6,88.6778665296975,1027.2021903955176,27.20219039551762
2021-05-08T02:35:00Z,-51.9508173,69.0463011,-0.47299999999999986,33.524,103.56,102.49072675334337,1027.3073568830916,27.307356883091643
2021-05-08T02:35:00Z,-51.9508173,69.0463011,-0.4980000000000002,33.517,102.52,101.46172065546672,1027.2979088487705,27.297908848770476
2021-05-08T02:35:00Z,-51.9508173,69.0463011,-0.5250000000000004,33.51,101.52,100.4722868271991,1027.28873118028,27.28873118027991
2021-05-08T02:35:00Z,-51.9508173,69.0463011,-0.5650000000000004,33.5,100.48,99.44327056211795,1027.277520380956,27.277520380956048
2021-05-08T02:35:00Z,-51.9508173,69.0463011,-0.6399999999999997,33.488,99.44,98.41424911350963,1027.2662077044038,27.26620770440377
2021-05-08T02:35:00Z,-51.9508173,69.0463011,-0.6479999999999997,33.495,98.44,97.4248005244583,1027.267394839614,27.2673948396141
2021-05-08T02:35:00Z,-51.9508173,69.0463011,-0.6449999999999996,33.489,97.36,96.35619066504582,1027.25727202915,27.257272029150045
2021-05-08T02:35:00Z,-51.9508173,69.0463011,-0.6399999999999997,33.496,96.48,95.48546738693034,1027.2584683713135,27.258468371313484
2021-05-08T02:35:00Z,-51.9508173,69.0463011,-0.5750000000000002,33.509,95.56,94.57516180934103,1027.261656924395,27.261656924395083
2021-05-08T02:35:00Z,-51.9508173,69.0463011,-0.3310000000000004,33.524,94.52,93.54611583640587,1027.2574945130211,27.25749451302113
2021-05-08T02:35:00Z,-51.9508173,69.0463011,-0.07200000000000006,33.498,93.48,92.51706467898974,1027.2188698322711,27.21886983227114
2021-05-11T02:29:00Z,-51.958542,69.0466566,0.2450000000000001,33.546,107.52,106.40881791735697,1027.3072591089283,27.307259108928292
2021-05-11T02:29:00Z,-51.958542,69.0466566,-0.16800000000000015,33.522,105.48,104.39041670181147,1027.3002308663222,27.30023086632218
2021-05-11T02:29:00Z,-51.958542,69.0466566,-0.25399999999999956,33.526,104.6,103.51972766818567,1027.3035115865669,27.303511586566856
2021-05-11T02:29:00Z,-51.958542,69.0466566,-0.49899999999999967,33.488,103.52,102.45114969157393,1027.2794426190987,27.279442619098745
2021-05-11T02:29:00Z,-51.958542,69.0466566,-0.6349999999999998,33.49,102.48,101.42214339434648,1027.2821478805802,27.28214788058017
2021-05-11T02:29:00Z,-51.958542,69.0466566,-0.6950000000000003,33.494,101.48,100.43270937438936,1027.2831736430046,27.283173643004602
2021-05-11T02:29:00Z,-51.958542,69.0466566,-0.7450000000000001,33.481,100.44,99.40369290994488,1027.2698664969746,27.2698664969746
2021-05-11T02:29:00Z,-51.958542,69.0466566,-0.7859999999999996,33.481,99.56,98.53298262212911,1027.2673654387224,27.267365438722436
2021-05-11T02:29:00Z,-51.958542,69.0466566,-0.8029999999999999,33.472,98.52,97.50395658795416,1027.2558476268212,27.25584762682115
