=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 86
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  2022-03-29 13:24:00 UTC
latitude:  69.1057132
longitude: -51.921413
ttf:       60
nsat:      6
min snr:   0
mean snr:  34
max snr:   45
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        411.0800 │             2.8600 │        34.2040 │          69601 ║
║        411.0400 │             2.8630 │        34.2070 │          71401 ║
║        411.0400 │             2.8640 │        34.2070 │          73201 ║
║        411.0400 │             2.8650 │        34.2040 │          75001 ║
║        411.0800 │             2.8650 │        34.2050 │          76801 ║
║        411.1200 │             2.8640 │        34.2060 │          78601 ║
║        411.1600 │             2.8620 │        34.2070 │          80401 ║
║        411.2400 │             2.8610 │        34.2030 │          82201 ║
║        411.3200 │             2.8590 │        34.2030 │          84001 ║
║        411.3600 │             2.8560 │        34.2040 │          85801 ║
║        411.4000 │             2.8480 │        34.2030 │          87601 ║
║        411.4400 │             2.8430 │        34.2000 │          89401 ║
║        411.4400 │             2.8340 │        34.1990 │          91201 ║
║        411.4400 │             2.8310 │        34.1950 │          93001 ║
║        411.4000 │             2.8270 │        34.1930 │          94801 ║
║        411.3200 │             2.8250 │        34.1890 │          96601 ║
║        411.2800 │             2.8240 │        34.1930 │          98401 ║
║        411.2000 │             2.8240 │        34.1910 │         100201 ║
║        411.0800 │             2.8240 │        34.1920 │         102001 ║
║        411.0000 │             2.8230 │        34.1910 │         103801 ║
║        410.9200 │             2.8280 │        34.1900 │         105601 ║
║        410.8400 │             2.8280 │        34.1920 │         107401 ║
║        410.7200 │             2.8240 │        34.1910 │         109201 ║
║        410.6400 │             2.8240 │        34.1930 │         111001 ║
║        410.6000 │             2.8350 │        34.1950 │         112801 ║
║        410.6000 │             2.8360 │        34.1940 │         114601 ║
║        410.6400 │             2.8370 │        34.1960 │         116401 ║
║        410.6800 │             2.8360 │        34.1970 │         118201 ║
║        410.7600 │             2.8360 │        34.1950 │         120001 ║
║        410.8800 │             2.8370 │        34.1970 │         121801 ║
║        411.0000 │             2.8370 │        34.1940 │         123601 ║
║        411.1600 │             2.8370 │        34.1960 │         125401 ║
║        411.2800 │             2.8370 │        34.1970 │         127201 ║
║        411.4400 │             2.8340 │        34.1950 │         129001 ║
║        411.5600 │             2.8330 │        34.1990 │         130801 ║
║        411.6800 │             2.8330 │        34.1950 │         132601 ║
║        411.7600 │             2.8320 │        34.1950 │         134401 ║
║        411.8400 │             2.8330 │        34.1930 │         136201 ║
║        411.9200 │             2.8320 │        34.1960 │         138001 ║
║        411.9600 │             2.8320 │        34.1940 │         139801 ║
║        412.0000 │             2.8280 │        34.1940 │         141601 ║
║        411.9600 │             2.8270 │        34.1920 │         143401 ║
║        411.9200 │             2.8260 │        34.1940 │         145201 ║
║        411.8800 │             2.8260 │        34.1920 │         147001 ║
║        411.8000 │             2.8240 │        34.1960 │         148801 ║
║        411.7200 │             2.8260 │        34.1970 │         150601 ║
║        411.6000 │             2.8280 │        34.1960 │         152401 ║
║        411.4800 │             2.8340 │        34.1960 │         154201 ║
║        411.4000 │             2.8560 │        34.2010 │         156001 ║
║        411.2800 │             2.8600 │        34.2030 │         157801 ║
║        411.1600 │             2.8630 │        34.2050 │         159601 ║
║        411.0800 │             2.8680 │        34.2030 │         161401 ║
║        411.0400 │             2.8700 │        34.2040 │         163201 ║
║        411.0000 │             2.8690 │        34.2010 │         165001 ║
║        410.9600 │             2.8690 │        34.2030 │         166801 ║
║        410.9600 │             2.8690 │        34.2020 │         168601 ║
║        411.0000 │             2.8680 │        34.2010 │         170401 ║
║        411.0400 │             2.8690 │        34.2000 │         172201 ║
║        411.1200 │             2.8680 │        34.2010 │         174001 ║
║        411.1600 │             2.8680 │        34.2010 │         175801 ║
║        411.2000 │             2.8650 │        34.2040 │         177601 ║
║        411.2400 │             2.8530 │        34.2000 │         179401 ║
║        411.2800 │             2.8320 │        34.1940 │         181201 ║
║        411.2800 │             2.8260 │        34.1880 │         183001 ║
║        411.3200 │             2.8240 │        34.1890 │         184801 ║
║        411.3200 │             2.8220 │        34.1870 │         186601 ║
║        411.3200 │             2.8200 │        34.1910 │         188401 ║
║        411.2800 │             2.8200 │        34.1900 │         190201 ║
║        411.2400 │             2.8190 │        34.1890 │         192001 ║
║        411.1600 │             2.8200 │        34.1860 │         193801 ║
║        411.1200 │             2.8190 │        34.1880 │         195601 ║
║        411.0000 │             2.8200 │        34.1870 │         197401 ║
║        410.9600 │             2.8230 │        34.1890 │         199201 ║
║        410.8800 │             2.8250 │        34.1870 │         201001 ║
║        410.8400 │             2.8260 │        34.1870 │         202801 ║
║        410.8000 │             2.8250 │        34.1890 │         204601 ║
║        410.7600 │             2.8260 │        34.1890 │         206401 ║
║        410.7600 │             2.8250 │        34.1890 │         208201 ║
║        410.8000 │             2.8230 │        34.1920 │         210001 ║
║        410.8800 │             2.8250 │        34.1900 │         211801 ║
║        410.9600 │             2.8240 │        34.1900 │         213601 ║
║        411.0800 │             2.8240 │        34.1900 │         215401 ║
║        411.2000 │             2.8220 │        34.1900 │         217201 ║
║        411.3200 │             2.8270 │        34.1890 │         219001 ║
║        411.4800 │             2.8280 │        34.1900 │         220801 ║
║        411.6000 │             2.8280 │        34.1910 │         222601 ║
║        411.7600 │             2.8290 │        34.1890 │         224401 ║
║        411.8400 │             2.8310 │        34.1880 │         226201 ║
║        411.9600 │             2.8360 │        34.1860 │         228001 ║
║        412.0400 │             2.8420 │        34.1860 │         229801 ║
║        412.0800 │             2.8410 │        34.1920 │         231601 ║
║        412.0800 │             2.8430 │        34.1930 │         233401 ║
║        412.0800 │             2.8430 │        34.1900 │         235201 ║
║        412.0400 │             2.8400 │        34.1910 │         237001 ║
║        412.0000 │             2.8340 │        34.1930 │         238801 ║
║        411.9200 │             2.8480 │        34.1890 │         240601 ║
║        411.8000 │             2.8580 │        34.1920 │         242401 ║
║        411.6400 │             2.8640 │        34.1990 │         244201 ║
║        411.4800 │             2.8690 │        34.2020 │         246001 ║
║        411.3200 │             2.8740 │        34.2030 │         247801 ║
║        411.1600 │             2.8770 │        34.2020 │         249601 ║
║        411.0400 │             2.8780 │        34.2030 │         251401 ║
║        410.9200 │             2.8780 │        34.2020 │         253201 ║
║        410.8400 │             2.8780 │        34.2030 │         255001 ║
║        410.8000 │             2.8780 │        34.2010 │         256801 ║
║        410.8000 │             2.8780 │        34.2030 │         258601 ║
║        410.8000 │             2.8770 │        34.2000 │         260401 ║
║        410.8400 │             2.8760 │        34.2000 │         262201 ║
║        410.9200 │             2.8730 │        34.1990 │         264001 ║
║        410.9600 │             2.8710 │        34.2010 │         265801 ║
║        411.0400 │             2.8620 │        34.1960 │         267601 ║
║        411.1200 │             2.8430 │        34.1920 │         269401 ║
║        411.2000 │             2.8410 │        34.1900 │         271201 ║
║        411.2800 │             2.8420 │        34.1840 │         273001 ║
║        411.3600 │             2.8440 │        34.1890 │         274801 ║
║        411.4000 │             2.8420 │        34.1920 │         276601 ║
║        411.4400 │             2.8440 │        34.1920 │         278401 ║
║        411.4400 │             2.8380 │        34.1900 │         280201 ║
║        411.4000 │             2.8380 │        34.1870 │         282001 ║
║        411.3200 │             2.8350 │        34.1890 │         283801 ║
║        411.2400 │             2.8290 │        34.1860 │         285601 ║
║        411.2000 │             2.8250 │        34.1870 │         287401 ║
║        411.0800 │             2.8260 │        34.1860 │         289201 ║
║        411.0000 │             2.8270 │        34.1860 │         291001 ║
║        410.9200 │             2.8280 │        34.1880 │         292801 ║
║        410.8400 │             2.8290 │        34.1880 │         294601 ║
║        410.8000 │             2.8300 │        34.1870 │         296401 ║
║        410.7600 │             2.8310 │        34.1890 │         298201 ║
║        410.7600 │             2.8300 │        34.1850 │         300001 ║
║        410.7600 │             2.8310 │        34.1860 │         301801 ║
║        410.8400 │             2.8290 │        34.1880 │         303601 ║
║        410.9600 │             2.8290 │        34.1880 │         305401 ║
║        411.0800 │             2.8280 │        34.1870 │         307201 ║
║        411.2400 │             2.8270 │        34.1890 │         309001 ║
║        411.4400 │             2.8270 │        34.1870 │         310801 ║
║        411.6000 │             2.8260 │        34.1870 │         312601 ║
║        411.7600 │             2.8280 │        34.1850 │         314401 ║
║        411.9200 │             2.8280 │        34.1840 │         316201 ║
║        412.0400 │             2.8260 │        34.1870 │         318001 ║
║        412.1200 │             2.8260 │        34.1860 │         319801 ║
