=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 80
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        400.4800 │             2.8330 │        34.1960 │         157801 ║
║        400.4800 │             2.8340 │        34.1980 │         159601 ║
║        400.4000 │             2.8330 │        34.1960 │         161401 ║
║        400.3200 │             2.8340 │        34.1990 │         163201 ║
║        400.1600 │             2.8340 │        34.1970 │         165001 ║
║        400.0000 │             2.8340 │        34.1950 │         166801 ║
║        399.8400 │             2.8320 │        34.1950 │         168601 ║
║        399.6800 │             2.8330 │        34.1930 │         170401 ║
║        399.5200 │             2.8270 │        34.1930 │         172201 ║
║        399.3600 │             2.8050 │        34.1930 │         174001 ║
║        399.2400 │             2.8280 │        34.1960 │         175801 ║
║        399.1600 │             2.8310 │        34.1950 │         177602 ║
║        399.1200 │             2.8300 │        34.1940 │         179401 ║
║        399.1200 │             2.8290 │        34.1920 │         181201 ║
║        399.1200 │             2.8290 │        34.1940 │         183001 ║
║        399.1600 │             2.8240 │        34.1970 │         184801 ║
║        399.2800 │             2.8210 │        34.1960 │         186601 ║
║        399.3600 │             2.8210 │        34.1890 │         188401 ║
║        399.5200 │             2.8220 │        34.1890 │         190201 ║
║        399.6800 │             2.8200 │        34.1920 │         192001 ║
║        399.8400 │             2.8290 │        34.1860 │         193801 ║
║        400.0000 │             2.8310 │        34.1950 │         195601 ║
║        400.1600 │             2.8320 │        34.1950 │         197401 ║
║        400.2800 │             2.8320 │        34.1940 │         199201 ║
║        400.4000 │             2.8330 │        34.1990 │         201001 ║
║        400.4400 │             2.8310 │        34.1980 │         202801 ║
║        400.4800 │             2.8300 │        34.1940 │         204601 ║
║        400.5200 │             2.8300 │        34.1920 │         206401 ║
║        400.4800 │             2.8280 │        34.1920 │         208201 ║
║        400.4400 │             2.8270 │        34.1910 │         210001 ║
║        400.3600 │             2.8260 │        34.1900 │         211801 ║
║        400.2800 │             2.8270 │        34.1890 │         213601 ║
║        400.2400 │             2.8240 │        34.1890 │         215401 ║
║        400.1200 │             2.8230 │        34.1850 │         217201 ║
║        400.0000 │             2.8260 │        34.1900 │         219001 ║
║        399.9200 │             2.8340 │        34.1970 │         220801 ║
║        399.8000 │             2.8380 │        34.2000 │         222601 ║
║        399.7600 │             2.8410 │        34.2010 │         224401 ║
║        399.7200 │             2.8430 │        34.2040 │         226201 ║
║        399.7200 │             2.8420 │        34.2020 │         228001 ║
║        399.7600 │             2.8410 │        34.1990 │         229801 ║
║        399.8000 │             2.8400 │        34.1980 │         231601 ║
║        399.8400 │             2.8390 │        34.1920 │         233401 ║
║        399.9200 │             2.8380 │        34.2000 │         235201 ║
║        399.9600 │             2.8350 │        34.1930 │         237001 ║
║        400.0400 │             2.8320 │        34.1900 │         238801 ║
║        400.0800 │             2.8340 │        34.1970 │         240601 ║
║        400.1600 │             2.8300 │        34.1930 │         242401 ║
║        400.2400 │             2.8320 │        34.1940 │         244201 ║
║        400.2800 │             2.8320 │        34.1910 │         246001 ║
║        400.2800 │             2.8310 │        34.1920 │         247801 ║
║        400.2800 │             2.8280 │        34.1920 │         249601 ║
║        400.2000 │             2.8290 │        34.1870 │         251401 ║
║        400.1600 │             2.8290 │        34.1920 │         253201 ║
║        400.0400 │             2.8310 │        34.1880 │         255001 ║
║        399.9200 │             2.8310 │        34.1850 │         256801 ║
║        399.8000 │             2.8300 │        34.1910 │         258601 ║
║        399.6800 │             2.8300 │        34.1860 │         260401 ║
║        399.5600 │             2.8300 │        34.1870 │         262201 ║
║        399.4400 │             2.8310 │        34.1880 │         264001 ║
║        399.3200 │             2.8300 │        34.1880 │         265802 ║
║        399.2400 │             2.8220 │        34.1840 │         267601 ║
║        399.1600 │             2.8280 │        34.1890 │         269401 ║
║        399.1600 │             2.8330 │        34.1910 │         271201 ║
║        399.1600 │             2.8330 │        34.1950 │         273001 ║
║        399.2000 │             2.8340 │        34.1920 │         274801 ║
║        399.2400 │             2.8340 │        34.1920 │         276601 ║
║        399.3600 │             2.8350 │        34.1920 │         278401 ║
║        399.4800 │             2.8350 │        34.1950 │         280201 ║
║        399.6000 │             2.8350 │        34.1920 │         282001 ║
║        399.7600 │             2.8350 │        34.1920 │         283801 ║
║        399.8800 │             2.8340 │        34.1930 │         285601 ║
║        400.0400 │             2.8340 │        34.1920 │         287401 ║
║        400.2000 │             2.8340 │        34.1910 │         289201 ║
║        400.3200 │             2.8330 │        34.1900 │         291001 ║
║        400.4000 │             2.8300 │        34.1890 │         292801 ║
