date,lon,lat,temperature,salinity,pressure,depth
26/10/2021,-51.9677295,69.0911512,1.9080000000000004,34.014,242.52,239.93522557619676
01/11/2021,-51.9710024,69.0901322,1.955,34.027,242.52,239.93522557619676
06/11/2021,-51.9821296,69.0927083,1.9249999999999998,33.862,242.48,239.89567509327634
11/11/2021,-51.989795,69.0939067,2.0060000000000002,34.037,242.52,239.93522557619676
16/11/2021,-51.9882407,69.093438,1.915,34.014,242.52,239.93522557619676
21/11/2021,-51.9816154,69.0929133,1.9450000000000003,34.022,242.52,239.93522557619676
26/11/2021,-51.9750316,69.094428,2.0759999999999996,34.039,242.56,239.9747760514827
01/12/2021,-51.9713869,69.0943735,2.051,34.023,242.52,239.93522557619676
06/12/2021,-51.981181,69.0931601,2.0170000000000003,34.011,242.44,239.85612460272148
11/12/2021,-51.9949535,69.0919738,2.3259999999999996,34.083,242.56,239.9747760514827
17/12/2021,-52.0037365,69.0917445,2.426,34.111,242.52,239.93522557619676
22/12/2021,-52.0090284,69.0914764,2.3070000000000004,34.085,242.52,239.93522557619676
27/12/2021,-52.0126574,69.0909871,2.346,34.097,242.52,239.93522557619676
01/01/2022,-52.0062075,69.0922608,2.2809999999999997,34.081,242.52,239.93522557619676
06/01/2022,-51.9943417,69.0939397,2.349,34.106,242.6,240.01432651913439
11/01/2022,-51.9893778,69.094651,2.351,34.096,242.52,239.93522557619676
16/01/2022,-51.9950142,69.0945626,2.3040000000000003,34.079,242.52,239.93522557619676
21/01/2022,-51.9928215,69.0933608,2.9450000000000003,34.116,242.48,239.89567509327634
27/01/2022,-51.9948815,69.0927636,2.979,34.155,242.48,239.89567509327634
01/02/2022,-51.9987956,69.0949413,2.6790000000000003,34.087,242.48,239.89567509327634
06/02/2022,-51.985653,69.0950683,2.729,34.044,242.52,239.93522557619676
11/02/2022,-51.9754275,69.0980682,2.5300000000000002,34.076,242.52,239.93522557619676
16/02/2022,-51.9575593,69.1026629,2.6399999999999997,34.052,242.56,239.9747760514827
