=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 71
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-01-06 13:02:00 UTC
latitude:  69.0939397
longitude: -51.9943417
ttf:       170
nsat:      5
min snr:   0
mean snr:  31
max snr:   45
hdop:      1.7

fix kind:  DiveEnd
fix time:  2022-01-11 15:37:00 UTC
latitude:  69.0945841
longitude: -51.9892713
ttf:       100
nsat:      5
min snr:   0
mean snr:  29
max snr:   43
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        457.3600 │             2.8380 │        34.2330 │         125400 ║
║        457.2800 │             2.8400 │        34.2320 │         127200 ║
║        457.1600 │             2.8400 │        34.2330 │         129000 ║
║        457.0000 │             2.8420 │        34.2320 │         130800 ║
║        456.8400 │             2.8410 │        34.2330 │         132600 ║
║        456.7200 │             2.8430 │        34.2330 │         134400 ║
║        456.6400 │             2.8430 │        34.2320 │         136200 ║
║        456.5200 │             2.8430 │        34.2300 │         138000 ║
║        456.4800 │             2.8430 │        34.2300 │         139800 ║
║        456.4400 │             2.8440 │        34.2300 │         141600 ║
║        456.4400 │             2.8430 │        34.2310 │         143400 ║
║        456.4800 │             2.8440 │        34.2330 │         145200 ║
║        456.5600 │             2.8440 │        34.2320 │         147000 ║
║        456.6800 │             2.8460 │        34.2170 │         148800 ║
║        456.8000 │             2.8460 │        34.2340 │         150600 ║
║        456.9600 │             2.8460 │        34.2290 │         152400 ║
║        457.1600 │             2.8460 │        34.2300 │         154200 ║
║        457.4000 │             2.8440 │        34.2310 │         156000 ║
║        457.6000 │             2.8460 │        34.2350 │         157800 ║
║        457.8000 │             2.8460 │        34.2310 │         159600 ║
║        457.9600 │             2.8400 │        34.2310 │         161400 ║
║        458.0800 │             2.8450 │        34.2310 │         163200 ║
║        458.1600 │             2.8470 │        34.2310 │         165000 ║
║        458.1600 │             2.8470 │        34.2350 │         166800 ║
║        458.1600 │             2.8470 │        34.2330 │         168600 ║
║        458.0800 │             2.8490 │        34.2320 │         170400 ║
║        457.9600 │             2.8500 │        34.2340 │         172200 ║
║        457.8000 │             2.8480 │        34.2330 │         174000 ║
║        457.6400 │             2.8490 │        34.2280 │         175800 ║
║        457.4800 │             2.8490 │        34.2270 │         177600 ║
║        457.2800 │             2.8490 │        34.2310 │         179400 ║
║        457.1200 │             2.8490 │        34.2320 │         181200 ║
║        456.9200 │             2.8480 │        34.2310 │         183000 ║
║        456.7600 │             2.8470 │        34.2320 │         184800 ║
║        456.5600 │             2.8400 │        34.2300 │         186600 ║
║        456.4400 │             2.8370 │        34.2250 │         188400 ║
║        456.3600 │             2.8440 │        34.2260 │         190200 ║
║        456.3200 │             2.8340 │        34.2290 │         192000 ║
║        456.3200 │             2.8310 │        34.2200 │         193800 ║
║        456.3600 │             2.8340 │        34.2250 │         195600 ║
║        456.4400 │             2.8310 │        34.2240 │         197400 ║
║        456.5600 │             2.8290 │        34.2260 │         199200 ║
║        456.6800 │             2.8280 │        34.2230 │         201000 ║
║        456.8400 │             2.8290 │        34.2230 │         202800 ║
║        456.9600 │             2.8290 │        34.2210 │         204600 ║
║        457.0800 │             2.8310 │        34.2260 │         206400 ║
║        457.1600 │             2.8320 │        34.2250 │         208200 ║
║        457.2400 │             2.8340 │        34.2230 │         210000 ║
║        457.2800 │             2.8320 │        34.2260 │         211800 ║
║        457.2800 │             2.8270 │        34.2230 │         213600 ║
║        457.2400 │             2.8260 │        34.2230 │         215400 ║
║        457.2000 │             2.8230 │        34.2220 │         217200 ║
║        457.1200 │             2.8170 │        34.1870 │         219000 ║
║        457.0000 │             2.8220 │        34.2210 │         220800 ║
