MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP
LGR_CP_PTSCI,20200917T221615,185.00739,2.17825,34.07993,30.28070,2.20035
LGR_CP_PTSCI,20200917T221636,182.96478,2.16837,34.07534,30.26760,2.22058
LGR_CP_PTSCI,20200917T221656,180.97409,2.15704,34.06763,30.25077,2.22498
LGR_CP_PTSCI,20200917T221716,179.01144,2.14178,34.05988,30.23054,2.20956
LGR_CP_PTSCI,20200917T221736,177.01678,2.12708,34.05453,30.21271,2.18356
LGR_CP_PTSCI,20200917T221757,174.99240,2.08865,34.04802,30.17356,2.19595
LGR_CP_PTSCI,20200917T221819,172.98410,2.01590,34.03571,30.10032,2.18567
LGR_CP_PTSCI,20200917T221840,171.01617,2.00998,34.03098,30.09057,2.17731
LGR_CP_PTSCI,20200917T221901,169.00580,2.00824,34.03007,30.08745,2.11786
LGR_CP_PTSCI,20200917T221923,166.96814,2.00165,34.02691,30.07834,2.13531
LGR_CP_PTSCI,20200917T221944,164.98135,1.97531,34.02285,30.05162,2.12903
LGR_CP_PTSCI,20200917T222005,163.01596,1.96027,34.01636,30.03265,2.08282
LGR_CP_PTSCI,20200917T222026,161.02112,1.95612,34.00764,30.02123,2.03442
LGR_CP_PTSCI,20200917T222047,159.01721,1.94867,33.99973,30.00764,2.07312
LGR_CP_PTSCI,20200917T222110,157.00583,1.94724,33.99588,30.00243,2.01749
LGR_CP_PTSCI,20200917T222132,154.97870,1.94763,33.99487,30.00105,2.05969
LGR_CP_PTSCI,20200917T222153,153.01382,1.94730,33.99319,29.99854,2.00662
LGR_CP_PTSCI,20200917T222213,151.02679,1.94522,33.99094,29.99407,1.93961
LGR_CP_PTSCI,20200917T222234,149.02594,1.94226,33.98870,29.98883,2.05545
LGR_CP_PTSCI,20200917T222255,147.03229,1.94101,33.98816,29.98644,1.98532
LGR_CP_PTSCI,20200917T222317,145.01993,1.94006,33.98697,29.98377,1.96518
LGR_CP_PTSCI,20200917T222339,143.00208,1.94043,33.98391,29.98074,1.99817
LGR_CP_PTSCI,20200917T222402,140.97864,1.93790,33.98133,29.97560,1.98599
LGR_CP_PTSCI,20200917T222426,139.00742,1.93442,33.97204,29.96431,1.97308
LGR_CP_PTSCI,20200917T222450,137.01691,1.93570,33.97012,29.96299,1.94354
LGR_CP_PTSCI,20200917T222514,135.00882,1.91904,33.96823,29.94630,1.96753
LGR_CP_PTSCI,20200917T222538,132.99896,1.90781,33.96420,29.93257,1.94910
LGR_CP_PTSCI,20200917T222604,130.96967,1.92221,33.95942,29.94017,1.93021
LGR_CP_PTSCI,20200917T222631,128.97525,1.93478,33.95004,29.94256,1.95541
LGR_CP_PTSCI,20200917T222659,126.98167,1.96643,33.93382,29.95580,1.88113
LGR_CP_PTSCI,20200917T222729,124.98151,2.03238,33.92234,30.00217,1.87970
LGR_CP_PTSCI,20200917T222800,122.99642,2.10648,33.92220,30.06461,1.91446
LGR_CP_PTSCI,20200917T222832,120.99322,2.13239,33.92350,30.08695,1.93524
LGR_CP_PTSCI,20200917T222904,118.98635,2.13647,33.91919,30.08609,1.96268
LGR_CP_PTSCI,20200917T222935,116.99713,2.12875,33.91752,30.07724,2.00833
LGR_CP_PTSCI,20200917T223006,115.00913,2.11209,33.91356,30.05889,2.02875
LGR_CP_PTSCI,20200917T223036,112.98776,2.08054,33.90750,30.02611,2.00632
LGR_CP_PTSCI,20200917T223105,110.96748,2.06738,33.89902,30.00715,2.01865
LGR_CP_PTSCI,20200917T223133,108.97729,2.06140,33.89590,29.99863,2.01382
LGR_CP_PTSCI,20200917T223200,106.98933,2.05347,33.89449,29.98982,2.08746
LGR_CP_PTSCI,20200917T223227,105.01540,2.04062,33.88874,29.97334,2.05438
LGR_CP_PTSCI,20200917T223252,103.00421,1.98132,33.87920,29.91411,2.06927
LGR_CP_PTSCI,20200917T223315,101.01738,1.94650,33.87070,29.87668,2.02103
LGR_CP_PTSCI,20200917T223339,99.01180,1.89267,33.86566,29.82580,2.00015
LGR_CP_PTSCI,20200917T223405,96.98883,1.85764,33.85702,29.78811,1.96103
LGR_CP_PTSCI,20200917T223431,95.00043,1.85638,33.84466,29.77631,1.93756
LGR_CP_PTSCI,20200917T223456,92.99784,1.90408,33.83973,29.81217,1.95810
LGR_CP_PTSCI,20200917T223523,90.99007,1.87238,33.83634,29.78151,1.92865
LGR_CP_PTSCI,20200917T223549,89.00822,1.88300,33.82410,29.77993,1.85956
LGR_CP_PTSCI,20200917T223616,86.98135,1.91901,33.82309,29.80891,1.88565
LGR_CP_PTSCI,20200917T223645,84.96275,1.93317,33.82015,29.81774,1.84125
LGR_CP_PTSCI,20200917T223714,83.00154,2.00375,33.80471,29.86475,1.88260
LGR_CP_PTSCI,20200917T223744,80.99931,2.07565,33.80230,29.92328,1.92828
LGR_CP_PTSCI,20200917T223817,78.98217,2.10455,33.80074,29.94580,1.90811
LGR_CP_PTSCI,20200917T223850,76.98760,2.22748,33.78687,30.03879,1.94388
LGR_CP_PTSCI,20200917T223924,74.97490,2.39047,33.77928,30.17120,1.97601
LGR_CP_PTSCI,20200917T224001,73.03840,2.47806,33.78217,30.24768,2.05969
LGR_CP_PTSCI,20200917T224034,70.98782,2.53442,33.78146,30.29449,2.12231
LGR_CP_PTSCI,20200917T224105,68.99838,2.60117,33.77485,30.34546,2.21689
LGR_CP_PTSCI,20200917T224135,67.03298,2.61108,33.77408,30.35247,2.23596
LGR_CP_PTSCI,20200917T224203,64.99693,2.63351,33.76457,30.36306,2.33356
LGR_CP_PTSCI,20200917T224230,63.00881,2.65378,33.75705,30.37344,2.35922
LGR_CP_PTSCI,20200917T224256,61.00465,2.66074,33.75571,30.37741,2.39395
LGR_CP_PTSCI,20200917T224321,59.00338,2.66580,33.74983,30.37608,2.46716
LGR_CP_PTSCI,20200917T224343,57.01823,2.66135,33.74205,30.36503,2.48944
LGR_CP_PTSCI,20200917T224406,55.00199,2.68420,33.73553,30.37842,2.52274
LGR_CP_PTSCI,20200917T224428,53.01375,2.70868,33.73045,30.39438,2.55249
LGR_CP_PTSCI,20200917T224450,51.02031,2.84027,33.71493,30.49376,2.48700
LGR_CP_PTSCI,20200917T224512,49.00001,2.90878,33.69933,30.53891,2.58429
LGR_CP_PTSCI,20200917T224535,46.99427,2.94537,33.69305,30.56429,2.61591
LGR_CP_PTSCI,20200917T224557,45.00093,2.96790,33.68618,30.57710,2.67328
LGR_CP_PTSCI,20200917T224619,43.00970,3.02686,33.67838,30.62047,2.67328
LGR_CP_PTSCI,20200917T224640,41.02110,3.07410,33.67356,30.65623,2.73651
LGR_CP_PTSCI,20200917T224702,38.98265,3.11783,33.66536,30.68616,2.79767
LGR_CP_PTSCI,20200917T224724,36.98604,3.22067,33.64575,30.75754,2.83450
LGR_CP_PTSCI,20200917T224745,35.01469,3.27881,33.63614,30.79874,2.84125
LGR_CP_PTSCI,20200917T224808,33.01443,3.43283,33.58715,30.88981,2.88113
LGR_CP_PTSCI,20200917T224832,31.00786,3.58240,33.54801,30.98511,3.01474
LGR_CP_PTSCI,20200917T224858,28.98611,3.79724,33.50695,31.13499,3.12070
LGR_CP_PTSCI,20200917T224927,26.93933,4.15146,33.40167,31.35081,3.24826
