=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 77
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-02-06 06:17:00 UTC
latitude:  69.0950683
longitude: -51.985653
ttf:       10
nsat:      6
min snr:   26
mean snr:  33
max snr:   39
hdop:      1.7

fix kind:  DiveEnd
fix time:  2022-02-11 08:55:00 UTC
latitude:  69.0966182
longitude: -51.9748802
ttf:       230
nsat:      5
min snr:   0
mean snr:  30
max snr:   39
hdop:      4.6

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        466.7600 │             2.8210 │        34.2130 │         132600 ║
║        466.8400 │             2.8200 │        34.2110 │         134400 ║
║        466.9600 │             2.8190 │        34.2110 │         136200 ║
║        467.1200 │             2.8200 │        34.2090 │         138000 ║
║        467.2800 │             2.8190 │        34.2110 │         139800 ║
║        467.4400 │             2.8190 │        34.2090 │         141600 ║
║        467.6000 │             2.8170 │        34.2090 │         143400 ║
║        467.7200 │             2.8160 │        34.2090 │         145200 ║
║        467.8400 │             2.8090 │        34.2070 │         147000 ║
║        467.9200 │             2.8080 │        34.2070 │         148800 ║
║        467.9200 │             2.8080 │        34.2060 │         150600 ║
║        467.9200 │             2.8090 │        34.2050 │         152400 ║
║        467.8800 │             2.8070 │        34.2080 │         154200 ║
║        467.8000 │             2.8070 │        34.2040 │         156000 ║
║        467.7200 │             2.8070 │        34.2070 │         157800 ║
║        467.6400 │             2.8110 │        34.2040 │         159600 ║
║        467.5600 │             2.8140 │        34.2070 │         161400 ║
║        467.4800 │             2.8130 │        34.2060 │         163200 ║
║        467.4000 │             2.8100 │        34.2070 │         165000 ║
║        467.3200 │             2.8100 │        34.2080 │         166800 ║
║        467.2400 │             2.8090 │        34.2070 │         168600 ║
║        467.2400 │             2.8100 │        34.2050 │         170400 ║
║        467.2000 │             2.8100 │        34.2050 │         172200 ║
║        467.2400 │             2.8100 │        34.2060 │         174000 ║
║        467.2800 │             2.8090 │        34.2070 │         175800 ║
║        467.3600 │             2.8100 │        34.2040 │         177600 ║
║        467.4400 │             2.8100 │        34.2050 │         179400 ║
║        467.5200 │             2.8100 │        34.2060 │         181200 ║
║        467.6400 │             2.8100 │        34.2060 │         183000 ║
║        467.7200 │             2.8090 │        34.2050 │         184800 ║
║        467.8000 │             2.8090 │        34.2050 │         186600 ║
║        467.8800 │             2.8090 │        34.2050 │         188400 ║
║        467.9200 │             2.8090 │        34.2040 │         190200 ║
║        467.9600 │             2.8100 │        34.2050 │         192000 ║
║        467.9600 │             2.8090 │        34.2060 │         193800 ║
║        467.9600 │             2.8080 │        34.2040 │         195600 ║
║        467.9200 │             2.8080 │        34.2030 │         197400 ║
║        467.8400 │             2.8080 │        34.2040 │         199200 ║
║        467.7200 │             2.8070 │        34.2030 │         201000 ║
║        467.6000 │             2.8080 │        34.2000 │         202800 ║
║        467.4800 │             2.8070 │        34.2030 │         204600 ║
║        467.3200 │             2.8070 │        34.2040 │         206400 ║
║        467.2000 │             2.8070 │        34.2010 │         208200 ║
║        467.0800 │             2.8070 │        34.2030 │         210000 ║
║        467.0000 │             2.8060 │        34.2030 │         211800 ║
║        466.9200 │             2.8070 │        34.2030 │         213600 ║
║        466.8800 │             2.8070 │        34.2000 │         215400 ║
║        466.8800 │             2.8090 │        34.2040 │         217200 ║
║        466.8800 │             2.8210 │        34.2030 │         219000 ║
║        466.9200 │             2.8140 │        34.2050 │         220800 ║
║        466.9600 │             2.8240 │        34.2030 │         222600 ║
║        467.0400 │             2.8220 │        34.2040 │         224400 ║
║        467.1600 │             2.8230 │        34.2040 │         226200 ║
║        467.2800 │             2.8280 │        34.2030 │         228000 ║
║        467.4000 │             2.8230 │        34.2030 │         229800 ║
║        467.5200 │             2.8220 │        34.2060 │         231600 ║
║        467.6400 │             2.8220 │        34.2040 │         233400 ║
║        467.7600 │             2.8210 │        34.2050 │         235200 ║
║        467.8400 │             2.8260 │        34.2070 │         237000 ║
║        467.8800 │             2.8230 │        34.2050 │         238800 ║
║        467.8800 │             2.8230 │        34.2060 │         240600 ║
║        467.9200 │             2.8200 │        34.2020 │         242400 ║
║        467.9200 │             2.8110 │        34.2000 │         244200 ║
║        467.8800 │             2.8040 │        34.1970 │         246000 ║
║        467.8400 │             2.8000 │        34.1970 │         247800 ║
║        467.7600 │             2.7960 │        34.1970 │         249600 ║
║        467.7200 │             2.7960 │        34.1930 │         251400 ║
║        467.6800 │             2.7950 │        34.1960 │         253200 ║
║        467.6000 │             2.7950 │        34.1970 │         255000 ║
║        467.5600 │             2.7940 │        34.1960 │         256800 ║
║        467.4800 │             2.7940 │        34.1950 │         258600 ║
║        467.4400 │             2.7930 │        34.1950 │         260400 ║
║        467.4400 │             2.7950 │        34.1920 │         262200 ║
║        467.4400 │             2.7950 │        34.1930 │         264000 ║
║        467.4800 │             2.8010 │        34.1960 │         265800 ║
║        467.5200 │             2.8060 │        34.1980 │         267600 ║
║        467.5600 │             2.8040 │        34.1980 │         269400 ║
║        467.6000 │             2.7990 │        34.1970 │         271200 ║
║        467.6400 │             2.7980 │        34.1970 │         273000 ║
║        467.6800 │             2.7990 │        34.1960 │         274800 ║
║        467.7200 │             2.8010 │        34.1990 │         276600 ║
║        467.7600 │             2.8010 │        34.1980 │         278400 ║
║        467.8000 │             2.8010 │        34.1960 │         280200 ║
║        467.8400 │             2.8010 │        34.1960 │         282000 ║
║        467.8400 │             2.8010 │        34.1940 │         283800 ║
║        467.8000 │             2.7990 │        34.1970 │         285600 ║
║        467.7600 │             2.8000 │        34.1930 │         287400 ║
║        467.6800 │             2.8010 │        34.1940 │         289200 ║
║        467.6400 │             2.8010 │        34.1970 │         291000 ║
║        467.5200 │             2.8020 │        34.1940 │         292800 ║
║        467.4400 │             2.8020 │        34.1950 │         294600 ║
║        467.3200 │             2.8010 │        34.1960 │         296400 ║
║        467.2400 │             2.8020 │        34.1960 │         298200 ║
║        467.1600 │             2.8030 │        34.1960 │         300000 ║
