=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 61
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-11-16 08:58:00 UTC
latitude:  69.093438
longitude: -51.9882407
ttf:       0
nsat:      5
min snr:   31
mean snr:  38
max snr:   42
hdop:      1

fix kind:  DiveEnd
fix time:  2021-11-21 11:35:00 UTC
latitude:  69.0931073
longitude: -51.9830195
ttf:       30
nsat:      8
min snr:   0
mean snr:  32
max snr:   44
hdop:      1

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        458.6800 │             2.6950 │        34.2140 │          94801 ║
║        458.6000 │             2.6980 │        34.2130 │          96601 ║
║        458.5600 │             2.7030 │        34.2130 │          98401 ║
║        458.5600 │             2.7050 │        34.2120 │         100201 ║
║        458.6400 │             2.7070 │        34.2170 │         102001 ║
║        458.7200 │             2.7050 │        34.2160 │         103801 ║
║        458.8400 │             2.7030 │        34.2130 │         105601 ║
║        459.0000 │             2.7010 │        34.2150 │         107401 ║
║        459.1600 │             2.7000 │        34.2130 │         109201 ║
║        459.3200 │             2.6980 │        34.2140 │         111001 ║
║        459.4800 │             2.6930 │        34.2090 │         112801 ║
║        459.6000 │             2.6880 │        34.2110 │         114601 ║
║        459.7200 │             2.6850 │        34.2080 │         116401 ║
║        459.8000 │             2.6880 │        34.2060 │         118201 ║
║        459.8000 │             2.6890 │        34.2090 │         120001 ║
║        459.8000 │             2.6870 │        34.2080 │         121801 ║
║        459.7200 │             2.6860 │        34.2090 │         123601 ║
║        459.5600 │             2.6870 │        34.2080 │         125401 ║
║        459.4000 │             2.6870 │        34.2070 │         127201 ║
║        459.2000 │             2.6870 │        34.2080 │         129001 ║
║        458.9600 │             2.6870 │        34.2080 │         130801 ║
║        458.7600 │             2.6860 │        34.2070 │         132601 ║
║        458.5600 │             2.6840 │        34.2060 │         134401 ║
║        458.3600 │             2.6830 │        34.2070 │         136201 ║
║        458.2400 │             2.6860 │        34.2050 │         138001 ║
║        458.1600 │             2.6960 │        34.2100 │         139801 ║
║        458.0800 │             2.7050 │        34.2080 │         141601 ║
