=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 88
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  2022-04-08 19:42:00 UTC
latitude:  69.103968
longitude: -51.9383141
ttf:       80
nsat:      9
min snr:   0
mean snr:  34
max snr:   46
hdop:      0.9

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        410.0000 │             2.8620 │        34.1890 │         219001 ║
║        410.0800 │             2.8600 │        34.1890 │         220801 ║
║        410.2000 │             2.8650 │        34.1900 │         222601 ║
║        410.3200 │             2.8690 │        34.1930 │         224401 ║
║        410.4400 │             2.8700 │        34.1920 │         226201 ║
║        410.5600 │             2.8800 │        34.1900 │         228001 ║
║        410.6400 │             2.8850 │        34.1960 │         229801 ║
║        410.6800 │             2.8870 │        34.1970 │         231601 ║
║        410.7200 │             2.8860 │        34.1960 │         233401 ║
║        410.7200 │             2.8820 │        34.1970 │         235201 ║
║        410.6400 │             2.8730 │        34.1900 │         237001 ║
║        410.5600 │             2.8670 │        34.1920 │         238801 ║
║        410.4000 │             2.8610 │        34.1910 │         240601 ║
║        410.2400 │             2.8520 │        34.1870 │         242401 ║
║        410.0800 │             2.8500 │        34.1860 │         244201 ║
║        409.9200 │             2.8810 │        34.1920 │         246001 ║
║        409.8000 │             2.8870 │        34.1960 │         247801 ║
║        409.6800 │             2.8850 │        34.1940 │         249601 ║
║        409.6000 │             2.8750 │        34.1920 │         251401 ║
║        409.5600 │             2.8750 │        34.1930 │         253201 ║
║        409.5200 │             2.8760 │        34.1910 │         255001 ║
║        409.5200 │             2.8740 │        34.1900 │         256801 ║
║        409.6000 │             2.8850 │        34.1900 │         258601 ║
║        409.6800 │             2.8770 │        34.1910 │         260401 ║
║        409.8000 │             2.8750 │        34.1930 │         262201 ║
║        409.9600 │             2.8790 │        34.1930 │         264001 ║
║        410.1200 │             2.8800 │        34.1930 │         265801 ║
║        410.3200 │             2.8810 │        34.1930 │         267601 ║
║        410.5200 │             2.8820 │        34.1920 │         269401 ║
║        410.7200 │             2.8830 │        34.1930 │         271201 ║
║        410.8800 │             2.8820 │        34.1950 │         273001 ║
║        411.0000 │             2.8830 │        34.1940 │         274801 ║
║        411.0800 │             2.8810 │        34.1920 │         276601 ║
║        411.1200 │             2.8800 │        34.1930 │         278401 ║
║        411.1600 │             2.8780 │        34.1920 │         280201 ║
║        411.0800 │             2.8760 │        34.1910 │         282001 ║
║        411.0400 │             2.8660 │        34.1890 │         283801 ║
║        410.9200 │             2.8620 │        34.1880 │         285601 ║
║        410.8000 │             2.8590 │        34.1860 │         287401 ║
║        410.6800 │             2.8470 │        34.1800 │         289201 ║
║        410.5200 │             2.8430 │        34.1790 │         291001 ║
║        410.4000 │             2.8490 │        34.1810 │         292801 ║
║        410.2400 │             2.8560 │        34.1830 │         294601 ║
║        410.1200 │             2.8600 │        34.1840 │         296401 ║
║        410.0400 │             2.8610 │        34.1860 │         298201 ║
║        410.0000 │             2.8600 │        34.1840 │         300001 ║
║        410.0000 │             2.8610 │        34.1830 │         301801 ║
║        410.0000 │             2.8630 │        34.1830 │         303601 ║
║        410.0400 │             2.8620 │        34.1840 │         305401 ║
║        410.0800 │             2.8630 │        34.1820 │         307201 ║
║        410.1600 │             2.8630 │        34.1820 │         309001 ║
║        410.2400 │             2.8650 │        34.1820 │         310801 ║
║        410.2800 │             2.8680 │        34.1840 │         312601 ║
║        410.3600 │             2.8760 │        34.1840 │         314401 ║
║        410.4400 │             2.8810 │        34.1880 │         316201 ║
║        410.5200 │             2.8850 │        34.1870 │         318001 ║
