=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 68
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-12-22 04:33:00 UTC
latitude:  69.0914764
longitude: -52.0090284
ttf:       0
nsat:      5
min snr:   17
mean snr:  20
max snr:   23
hdop:      1.2

fix kind:  DiveEnd
fix time:  2021-12-27 07:07:00 UTC
latitude:  69.0915891
longitude: -52.0103031
ttf:       230
nsat:      6
min snr:   0
mean snr:  26
max snr:   35
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        445.5600 │             2.7840 │        34.2200 │         105601 ║
║        445.5200 │             2.7850 │        34.2190 │         107401 ║
║        445.4400 │             2.7820 │        34.2180 │         109201 ║
║        445.3600 │             2.7820 │        34.2180 │         111001 ║
║        445.2000 │             2.7810 │        34.2190 │         112801 ║
║        445.0000 │             2.7820 │        34.2150 │         114601 ║
║        444.8000 │             2.7810 │        34.2180 │         116401 ║
║        444.6000 │             2.7810 │        34.2190 │         118201 ║
║        444.4000 │             2.7810 │        34.2180 │         120001 ║
║        444.2400 │             2.7810 │        34.2190 │         121801 ║
║        444.0800 │             2.7800 │        34.2160 │         123601 ║
║        443.9600 │             2.7790 │        34.2160 │         125401 ║
║        443.8400 │             2.7810 │        34.2200 │         127201 ║
║        443.8000 │             2.7840 │        34.2190 │         129001 ║
║        443.8000 │             2.7830 │        34.2180 │         130801 ║
║        443.8000 │             2.7800 │        34.2200 │         132601 ║
║        443.8800 │             2.7810 │        34.2150 │         134401 ║
║        443.9600 │             2.7810 │        34.2180 │         136201 ║
║        444.0400 │             2.7810 │        34.2180 │         138001 ║
║        444.1200 │             2.7820 │        34.2150 │         139801 ║
║        444.2400 │             2.7790 │        34.2180 │         141601 ║
║        444.3600 │             2.7820 │        34.2190 │         143401 ║
║        444.4400 │             2.7810 │        34.2160 │         145201 ║
║        444.5200 │             2.7800 │        34.2150 │         147001 ║
║        444.5200 │             2.7800 │        34.2130 │         148801 ║
║        444.5200 │             2.7790 │        34.2160 │         150601 ║
║        444.4800 │             2.7750 │        34.2200 │         152401 ║
║        444.3600 │             2.7730 │        34.2170 │         154201 ║
║        444.2400 │             2.7710 │        34.2160 │         156001 ║
║        444.1200 │             2.7730 │        34.2170 │         157801 ║
║        444.0000 │             2.7720 │        34.2170 │         159601 ║
║        443.8400 │             2.7760 │        34.2150 │         161401 ║
║        443.7600 │             2.7710 │        34.2150 │         163201 ║
║        443.6400 │             2.7690 │        34.2140 │         165001 ║
║        443.6000 │             2.7700 │        34.2130 │         166801 ║
║        443.5600 │             2.7710 │        34.2110 │         168601 ║
║        443.6000 │             2.7720 │        34.2140 │         170401 ║
║        443.6400 │             2.7750 │        34.2130 │         172201 ║
║        443.7200 │             2.7780 │        34.2130 │         174001 ║
║        443.8400 │             2.7810 │        34.2130 │         175801 ║
║        443.9600 │             2.7890 │        34.2150 │         177601 ║
║        444.1200 │             2.7920 │        34.2180 │         179401 ║
║        444.3200 │             2.7920 │        34.2160 │         181201 ║
║        444.5200 │             2.7930 │        34.2180 │         183001 ║
║        444.7200 │             2.7930 │        34.2170 │         184801 ║
║        444.9200 │             2.7930 │        34.2190 │         186601 ║
║        445.0800 │             2.7940 │        34.2180 │         188401 ║
║        445.2400 │             2.7930 │        34.2190 │         190201 ║
║        445.3200 │             2.7940 │        34.2170 │         192001 ║
║        445.3600 │             2.7920 │        34.2190 │         193801 ║
║        445.3600 │             2.7890 │        34.2170 │         195601 ║
║        445.3200 │             2.7910 │        34.2170 │         197401 ║
║        445.2000 │             2.7920 │        34.2170 │         199201 ║
║        445.0800 │             2.7920 │        34.2160 │         201001 ║
║        444.9200 │             2.7930 │        34.1820 │         202801 ║
║        444.7600 │             2.7950 │        34.2170 │         204601 ║
║        444.5600 │             2.7950 │        34.2170 │         206401 ║
║        444.3600 │             2.7950 │        34.2180 │         208201 ║
║        444.1600 │             2.7940 │        34.2180 │         210001 ║
║        444.0000 │             2.7850 │        34.2170 │         211801 ║
║        443.8400 │             2.7850 │        34.2110 │         213601 ║
