lon,lat,date,depth,temperature,salinity
-50.24107,69.18225,29/08/2019,24.2284,,
-50.24107,69.18225,29/08/2019,24.3387,,
-50.24107,69.18225,29/08/2019,24.449,-1.28,28.58
-50.24107,69.18225,29/08/2019,24.5593,-1.27,28.61
-50.24107,69.18225,29/08/2019,24.6696,-1.27,28.63
-50.24107,69.18225,29/08/2019,24.7799,-1.27,28.68
-50.24107,69.18225,29/08/2019,24.8902,-1.27,28.7
-50.24107,69.18225,29/08/2019,25.0004,-1.27,28.76
-50.24107,69.18225,29/08/2019,25.1107,-1.27,28.78
-50.24107,69.18225,29/08/2019,25.221,-1.26,28.79
-50.24107,69.18225,29/08/2019,25.3313,-1.26,28.83
-50.24107,69.18225,29/08/2019,25.4416,-1.26,28.89
-50.24107,69.18225,29/08/2019,25.5518,-1.25,28.95
-50.24107,69.18225,29/08/2019,25.6621,-1.25,28.97
-50.24107,69.18225,29/08/2019,25.7724,-1.25,28.97
-50.24107,69.18225,29/08/2019,25.8827,-1.25,28.97
-50.24107,69.18225,29/08/2019,25.9929,-1.25,28.97
-50.24107,69.18225,29/08/2019,26.1032,-1.24,28.98
-50.24107,69.18225,29/08/2019,26.2135,-1.24,29.0
-50.24107,69.18225,29/08/2019,26.3238,-1.24,29.06
-50.24107,69.18225,29/08/2019,26.434,-1.22,29.07
-50.24107,69.18225,29/08/2019,26.5443,-1.22,29.09
-50.24107,69.18225,29/08/2019,26.6546,-1.22,29.11
-50.24107,69.18225,29/08/2019,26.7648,-1.21,29.16
-50.24107,69.18225,29/08/2019,26.8751,-1.2,29.21
-50.24107,69.18225,29/08/2019,26.9854,-1.19,29.25
-50.24107,69.18225,29/08/2019,27.0957,-1.19,29.29
-50.24107,69.18225,29/08/2019,27.2059,-1.18,29.32
-50.24107,69.18225,29/08/2019,27.3162,-1.18,29.32
-50.24107,69.18225,29/08/2019,27.4265,-1.17,29.31
-50.24107,69.18225,29/08/2019,27.5367,,
-50.24107,69.18225,29/08/2019,27.647,,
-50.24107,69.18225,29/08/2019,27.7572,,
-50.24107,69.18225,29/08/2019,27.8675,,
-50.24107,69.18225,29/08/2019,27.9778,,
-50.24107,69.18225,29/08/2019,28.088,,
-50.24107,69.18225,29/08/2019,28.1983,,
-50.24107,69.18225,29/08/2019,28.3085,,
-50.24107,69.18225,29/08/2019,28.4188,,
-50.24107,69.18225,29/08/2019,28.5291,,
-50.24107,69.18225,29/08/2019,28.6393,-1.15,29.51
-50.24107,69.18225,29/08/2019,28.7496,-1.15,29.53
-50.24107,69.18225,29/08/2019,28.8598,-1.15,29.53
-50.24107,69.18225,29/08/2019,28.9701,-1.16,29.57
-50.24107,69.18225,29/08/2019,29.0803,-1.15,29.58
-50.24107,69.18225,29/08/2019,29.1906,-1.14,29.63
-50.24107,69.18225,29/08/2019,29.3008,-1.14,29.67
-50.24107,69.18225,29/08/2019,29.4111,-1.12,29.69
-50.24107,69.18225,29/08/2019,29.5214,-1.1,29.71
-50.24107,69.18225,29/08/2019,29.6316,-1.08,29.74
-50.24107,69.18225,29/08/2019,29.7419,-1.05,29.77
-50.24107,69.18225,29/08/2019,29.8521,-1.04,29.82
-50.24107,69.18225,29/08/2019,29.9623,,
-50.24107,69.18225,29/08/2019,30.0726,,
-50.24107,69.18225,29/08/2019,30.1828,,
-50.24107,69.18225,29/08/2019,30.2931,,
-50.24107,69.18225,29/08/2019,30.4033,,
-50.24107,69.18225,29/08/2019,30.5136,,
-50.24107,69.18225,29/08/2019,30.6238,,
-50.24107,69.18225,29/08/2019,30.7341,,
-50.24107,69.18225,29/08/2019,30.8443,-1.02,29.92
-50.24107,69.18225,29/08/2019,30.9545,-1.01,29.93
-50.24107,69.18225,29/08/2019,31.0648,-1.0,29.97
-50.24107,69.18225,29/08/2019,31.175,-1.0,30.01
-50.24107,69.18225,29/08/2019,31.2853,-0.99,30.0
-50.24107,69.18225,29/08/2019,31.3955,-0.99,30.02
-50.24107,69.18225,29/08/2019,31.5057,-0.99,30.04
-50.24107,69.18225,29/08/2019,31.616,,
-50.24107,69.18225,29/08/2019,31.7262,,
-50.24107,69.18225,29/08/2019,31.8364,,
-50.24107,69.18225,29/08/2019,31.9467,,
-50.24107,69.18225,29/08/2019,32.0569,,
-50.24107,69.18225,29/08/2019,32.1671,,
-50.24107,69.18225,29/08/2019,32.2774,,
-50.24107,69.18225,29/08/2019,32.3876,,
-50.24107,69.18225,29/08/2019,32.4978,,
-50.24107,69.18225,29/08/2019,32.6081,,
-50.24107,69.18225,29/08/2019,32.7183,-0.91,30.25
-50.24107,69.18225,29/08/2019,32.8285,-0.9,30.28
-50.24107,69.18225,29/08/2019,32.9388,-0.89,30.31
-50.24107,69.18225,29/08/2019,33.049,-0.89,30.31
-50.24107,69.18225,29/08/2019,33.1592,-0.89,30.35
-50.24107,69.18225,29/08/2019,33.2694,-0.87,30.35
-50.24107,69.18225,29/08/2019,33.3797,-0.87,30.35
-50.24107,69.18225,29/08/2019,33.4899,-0.86,30.38
-50.24107,69.18225,29/08/2019,33.6001,-0.86,30.4
-50.24107,69.18225,29/08/2019,33.7103,-0.86,30.42
-50.24107,69.18225,29/08/2019,33.8205,-0.86,30.4
-50.24107,69.18225,29/08/2019,33.9308,-0.86,30.42
-50.24107,69.18225,29/08/2019,34.041,-0.86,30.42
-50.24107,69.18225,29/08/2019,34.1512,-0.85,30.43
-50.24107,69.18225,29/08/2019,34.2614,-0.83,30.45
-50.24107,69.18225,29/08/2019,34.3716,-0.81,30.47
-50.24107,69.18225,29/08/2019,34.4819,-0.78,30.47
-50.24107,69.18225,29/08/2019,34.5921,-0.76,30.51
-50.24107,69.18225,29/08/2019,34.7023,-0.74,30.55
-50.24107,69.18225,29/08/2019,34.8125,-0.74,30.57
-50.24107,69.18225,29/08/2019,34.9227,-0.74,30.57
